አፍሪቃ	Afrika
ጃፓን	Japan
ደቡብ አሜሪካ	Sør-Amerika
ኖርዌይ	Norge
ኢንግላንድ	England
ስኮትላንድ	Skottland
ዌልስ	Wales
ስሜን አየርላንድ	Nord-Irland
አየርላንድ ሪፐብሊክ	Irland
ሀንጋሪ	Ungarn
እስፓንያ	Spania
አሜሪካ	USA
ቤልጅግ	Belgia
ሉክሰምበርግ	Luxembourg
መሬት	Jorden
ህይወት	Liv
የሰው ልጅ	Menneske
ጆርጅ ዋሽንግተን	George Washington
ፊንላንድ	Finland
ስዊድን	Sverige
ዴንማርክ	Danmark
ፖላንድ	Polen
ሊትዌኒያ	Litauen
ጣልያን	Italia
ስዊዘርላንድ	Sveits
ኦስትሪያ	Østerrike
ግሪክ (አገር)	Hellas
ቱርክ	Tyrkia
ፖርቱጋል	Portugal
አውሮፓ	Europa
እስያ	Asia
ስሜን አሜሪካ	Nord-Amerika
አንታርክቲካ	Antarktika
ውክፔዲያ	Wikipedia
ሆላንድ	Nederland
ኒው ዮርክ ከተማ	New York
ዋሺንግተን ዲሲ	Washington, D.C.
ሳን ፍራንሲስኰ	San Francisco
በርሊን	Berlin
ሎስ አንጄሌስ	Los Angeles
ኮምፒዩተር	Datamaskin
ቤርን	Bern
ዠኔቭ	Genève
ዙሪክ	Zürich
ድረ ገጽ መረብ	Internett
ባራክ ኦባማ	Barack Obama
ኡራጓይ	Uruguay
ባዝል	Basel
ለንደን	London
ካይሮ	Kairo
እስክንድርያ	Alexandria
ፖም	Epleslekten
ፓሪስ	Paris
አብርሀም ሊንከን	Abraham Lincoln
ጉግል	Google
ሜክሲኮ	Mexico
አትላንቲክ ውቅያኖስ	Atlanterhavet
ሰላማዊ ውቅያኖስ	Stillehavet
ካሊፎርኒያ	California
ቦስቶን	Boston
ሰኞ	Mandag
ጃንዩዌሪ	Januar
ፌብሩዋሪ	Februar
ማርች	Mars (måned)
ማርስ	Mars (planet)
ኬንያ	Kenya
ኢትዮጵያ	Etiopia
ጋና	Ghana
ኤፕሪል	April
መይ	Mai
ጁን	Juni
ጁላይ	Juli
ኦገስት	August
ሰፕቴምበር	September
ኦክቶበር	Oktober
ኖቬምበር	November
ዲሴምበር	Desember
ማክሰኞ	Tirsdag
ረቡዕ	Onsdag
ሐሙስ	Torsdag
ዓርብ	Fredag
ቅዳሜ	Lørdag
እሑድ	Søndag
አንበሳ	Løve
ፈረንሣይ	Frankrike
ኤስፔራንቶ	Esperanto
ውሻ	Tamhund
ዩናይትድ ኪንግደም	Storbritannia
ድመት	Tamkatt
የቻይና ሕዝባዊ ሪፐብሊክ	Folkerepublikken Kina
ፈረንሳይኛ	Fransk
ዓሣ	Fisk
ብራዚል	Brasil
ሩሲያ	Russland
ባህር	Hav
ጥቁር ባሕር	Svartehavet
ፓይ	Pi
ቶሮንቶ	Toronto
አላባማ	Alabama
ሳው ፓውሉ	São Paulo
ኬበክ	Québec
ጂሚ ዌልስ	Jimmy Wales
ጀርመን	Tyskland
ቤላሩስ	Hviterussland
ጀርመንኛ	Tysk
አይስላንድ	Island
እግዚአብሔር	Gud
ኤስቶኒያ	Estland
ማህፈድ	Saturn
አውሮፕላን	Fly
