Saot Amerika	Sør-Amerika
Norway	Norge
Ireland	Irland
Hungary	Ungarn
Spain	Spania
Yunaeted Stet blong Amerika	USA
Belgium	Belgia
Luxembourg	Luxembourg
Finland	Finland
Sweden	Sverige
Denmark	Danmark
Poland	Polen
Litwania	Litauen
Itali	Italia
Switzerland	Sveits
Austria	Østerrike
Greece	Hellas
Turkey	Tyrkia
Portugal	Portugal
Yurop	Europa
Esia	Asia
Wikipedia	Wikipedia
Netherlands	Nederland
Berlin	Berlin
Barak Obama	Barack Obama
Uruguay	Uruguay
London	London
Paris	Paris
Mexico	Mexico
Pasifik	Stillehavet
Kalifornia	California
Boston, Massachusetts	Boston
Franis	Frankrike
Unaeted Kingdom	Storbritannia
China	Folkerepublikken Kina
Brazil	Brasil
Rusia	Russland
Alabama	Alabama
Germany	Tyskland
Belarus	Hviterussland
Iceland	Island
Estonia	Estland
David Cameron	David Cameron
Wan	1 (tall)
Tu	2 (tall)
Tri	3 (tall)
Fo	4 (tall)
Faef	5 (tall)
Latvia	Latvia
Ukraine	Ukraina
Czechia	Tsjekkia
Slovakia	Slovakia
Slovenia	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Romania	Romania
Bulgaria	Bulgaria
Rome	Roma
Macedonia	Republikken Makedonia
Albania	Albania
Croatia	Kroatia
Bosnia and Herzegovina	Bosnia-Hercegovina
Azerbaijan	Aserbajdsjan
Andorra	Andorra
Cyprus	Republikken Kypros
Georgian Republic	Georgia
Kazakhstan	Kasakhstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatican Siti	Vatikanstaten
San Marino	San Marino
Indonesia	Indonesia
Warsaw	Warszawa
Wota	Vann
Chile	Chile
Jisas Kraes	Jesus Kristus
Nicolas Sarkozy	Nicolas Sarkozy
Singapore	Singapore
Saens	Vitenskap
Liechtenstein	Liechtenstein
Spot	Sport
Wol Wo Tu	Andre verdenskrig
Armenia	Armenia
Serbia	Serbia
Ostrelia	Australia
Argentina	Argentina
Peru	Peru
Baeoloji	Biologi
Islam	Islam
Boteni	Botanikk
Flaoa	Blomst
Wikimidia Commons	Wikimedia Commons
Moskow	Moskva
San-Peterburg	St. Petersburg
Niu Zilan	New Zealand
India	India
Aean	Jern
Ripablik blong Vanuatu	Vanuatu
Papua New Guinea	Papua Ny-Guinea
Venezuela	Venezuela
Maine	Maine
Animol	Dyr
Paraguay	Paraguay
Colombia	Colombia
Budisim	Buddhisme
Bolivia	Bolivia
Niu Hampshire	New Hampshire
Massachusetts	Massachusetts
Connecticut	Connecticut
Hawaii	Hawaii
Alaska	Alaska
Florida	Florida
Arizona	Arizona
Laos	Laos
Oregon	Oregon
Yuta	Utah
Burma	Myanmar
Vietnam	Vietnam
Saot Koria	Sør-Korea
Bangladesh	Bangladesh
Bhutan	Bhutan
Twitter	Twitter
Julius Caesar	Julius Cæsar
Yunaeted Nesen	De forente nasjoner
Jiografi	Geografi
Bren	Hjerne
Prague	Praha
Michigan	Michigan
Illinois	Illinois
Not Dakota	Nord-Dakota
Saut Dakota	Sør-Dakota
Montana	Montana
Wyoming	Wyoming
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Washington (Bundesstaat)	Washington
Nevada	Nevada
Colorado	Colorado
Delhi	Delhi
Virginia	Virginia
West Virginia	Vest-Virginia
Niu York (Bundesstaat)	New York (delstat)
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pennsylvania
Uetersen	Uetersen
Augustus	Augustus
Niu Yersey	New Jersey
Indiana	Indiana
Georgia	Georgia (USA)
Texas	Texas
Not Carolina	Nord-Carolina
Saut Carolina	Sør-Carolina
Barcelona	Barcelona
Mississippi	Mississippi
Tennessee	Tennessee
Niu Mexico	New Mexico
Minnesota	Minnesota
Caracas	Caracas
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindi	Hindi
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Vienna	Wien
Stockholm	Stockholm
Wrocław	Wrocław
Baebol	Bibelen
Ho Chi Minh City	Ho Chi Minh-byen
Andorra la Vella	Andorra la Vella
Dong Hoi	Dong Hoi
Concepción	Concepción
Końskowola	Końskowola
Kurów	Kurów
Kemistri	Kjemi
Madrid	Madrid
Sydney	Sydney
Delmenhorst	Delmenhorst
Osasco	Osasco
Curitiba	Curitiba
Confucius	Konfucius
Category:Matematikis	Kategori:Matematikk
Faroe aelan	Færøyene
Kristaniti	Kristendom
Céline Dion	Céline Dion
Kontinen	Kontinent
Kapitol	Hovedstad
Monzón	Monzón
Almazán	Almazán
Huang Xianfan	Huang Xian-fan
Nambawan Pej	Portal:Forside
Template:Gud atikel	Mal:Anbefalt
Category:Candidates for speedy deletion	Kategori:Sider som er foreslått raskt slettet
Indianapolis, Indiana	Indianapolis
Qin Shi Huang	Qin Shi Huangdi
Ae	Øye
Kamel	Kameler
Obesin	Aubergine
Dakdak	Andefamilien
Toktok Rusia	Russisk
Nelson Mandela	Nelson Mandela
Volkeno	Vulkan
Bigwin	Tropisk syklon
Category:Franis	Kategori:Frankrike
Kofi	Kaffe
Seoul	Seoul
Toktok Ukraine	Ukrainsk
Dipsi	Verdenshav
Buddha	Buddha
Muhammed	Muhammed
Martin Luther	Martin Luther
Michael Schumacher	Michael Schumacher
Elisabet II	Elisabeth II av Storbritannia
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Gordon Brown	Gordon Brown
Category:Venezuela	Kategori:Venezuela
Lugo	Lugo
Category:Brazil	Kategori:Brasil
Oktri	Eikeslekten
Kanal	Kanal (farvann)
Leji	Litchi
Kokonas	Kokospalme
Santiago de Compostela	Santiago de Compostela
Oviedo	Oviedo
Mérida	Mérida (Spania)
Busan	Busan
Vermont	Vermont
Denver, Colorado	Denver
Phoenix, Arizona	Phoenix
Austin, Texas	Austin
Columbus, Ohio	Columbus (Ohio)
Flaeg blong Rusia	Russlands flagg
Sacramento, Kalifornia	Sacramento
Honolulu, Hawaii	Honolulu
Providence, Rhode Island	Providence
Naen	9 (tall)
Bien Hoa	Bien Hoa
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Wikipedia:Gud atikel	Wikipedia:Anbefalte artikler
Breinigerberg	Breinigerberg
Moai	Moai
Seoul Stesen	Seoul stasjon
Daejeon	Daejeon
Sejong	Sejong by
Incheon	Incheon
Nashville, Tennessee	Nashville
Sol Lek Siti	Salt Lake City
Seven	7 (tall)
Eit	8 (tall)
Lord's Prayer	Fader vår
Galik	Hvitløk
Kukamba	Agurk
Sikis	6 (tall)
Moshchena	Mosjtsjena
Santiago de los Caballeros de Mérida	Mérida (Venezuela)
Atlanta, Georgia	Atlanta
Ten	10 (tall)
Albany, Niu York	Albany (New York)
Ca Mau	Ca Mau
Harrisburg, Pennsylvania	Harrisburg
Da Lat	Dalat
Phan Thiet	Phan Thiet
Hoknaet	Tårnugle
Antoni Gaudí	Antoni Gaudí
Trenton, Niu Yersey	Trenton
Thai Nguyen	Thai Nguyen
Jefferson City, Missouri	Jefferson City
Jackson, Mississippi	Jackson (Mississippi)
Augusta, Maine	Augusta (Maine)
Baton Rouge, Louisiana	Baton Rouge
Lansing, Michigan	Lansing
Concord, New Hampshire	Concord
Lincoln, Nebraska	Lincoln (Nebraska)
Annapolis, Maryland	Annapolis
Springfield, Illinois	Springfield (Illinois)
Frankfort, Kentucky	Frankfort
Saint Paul, Minnesota	Saint Paul (Minnesota)
Montgomery, Alabama	Montgomery
Juneau, Alaska	Juneau
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Little Rock, Arkansas	Little Rock
Buon Ma Thuot	Ban Ma Thuot
Hartford, Connecticut	Hartford
Dover, Delaware	Dover (Delaware)
Tok Pisin	Tok pisin
Anastacia	Anastacia
Yufreres	Eufrat
Vinh Long	Vinh Long
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Bislama	Bislama
Boise, Idaho	Boise
Al Bayda	Al Bayda
Bambu	Bambus
Thanh Hoa	Thanh Hoa
Port Moresby	Port Moresby
Ben Tre	Bến Tre
Arancón	Arancón
Twelef	12 (tall)
Tallahassee, Florida	Tallahassee
Bismarck, Not Dakota	Bismarck (Nord-Dakota)
Leven	11 (tall)
Avoka	Avokado
Cleveland, Ohio	Cleveland
John Calvin	Jean Calvin
Sint-Truiden	Sint-Truiden
Port Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
Angers	Angers
Columbia, Saut Carolina	Columbia (Sør-Carolina)
Santa Fe, Niu Mexico	Santa Fe
Helena, Montana	Helena (Montana)
Des Moines, Iowa	Des Moines
Ágreda	Ágreda
Pierre, Saut Dakota	Pierre
Carson City, Nevada	Carson City (Nevada)
Topeka, Kansas	Topeka
Raleigh, Not Carolina	Raleigh
Ulsan	Ulsan
Gwangju	Gwangju
Grepfrut	Grapefrukt
Julia Gillard	Julia Gillard
Hamlet	Hamlet
Sebastian Vettel	Sebastian Vettel
Kevin Rudd	Kevin Rudd
Montehermoso	Montehermoso
Salem, Oregon	Salem (Oregon)
Josef Smit	Joseph Smith
Oganaesesen blong ol Leba Raonwol	Den internasjonale arbeidsorganisasjonen
Iolu Abil	Iolu Abil
Namba	Tallord
Coronel Fabriciano	Coronel Fabriciano
Alla Pugacheva	Alla Pugatsjeva
Flaeg blong Azerbaijan	Aserbajdsjans flagg
Sompiniong	Fruktlegeme
Polanbol	Polenball
Dziecinów	Dziecinów
Gdov	Gdov
