ཨ་ཧྥེ་རི་ཁ།	Afrika
ཉི་ཧོང་།	Japan
ནོར་ཝེ།	Norge
སི་ཁོ་ཁྲི་ལན་ཌི།	Skottland
ཨར་ལེན་ཌ།	Irland
ཧུང་གྷ་རི།	Ungarn
ཞི་པན་ཡ།	Spania
ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	USA
པེར་ཅིན།	Belgia
ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Luxembourg
སའི་གོ་ལ།	Jorden
འཚོ་བ།	Liv
ཤི་བ།	Død
འགྲོ་བ་མི།	Menneske
དགའ་སྐྱིད།	Lykke
ཧྥིན་ལན།	Finland
སི་ཝེ་དེན།	Sverige
དན་མྲག	Danmark
ཕོ་ལན།	Polen
ལི་ཐུ་ཨེ་ནི་ཡ།	Litauen
ཨི་ཏ་ལི།	Italia
སུད་སི།	Sveits
ཨོ་སི་ཐྲི་ཡ།	Østerrike
ཀེ་རི་སི།	Hellas
ཏུར་ཀི།	Tyrkia
སྦི་རག	Øl
པོ་ཅུ་གྷལ།	Portugal
ཡོ་རོབ་གླིང་།	Europa
ཨེ་ཤེ་ཡ།	Asia
ལྷོ་མཐའི་གླིང་།	Antarktika
ཧོ་ལན།	Nederland
ནེའུ་ཡོར་ཀ།	New York
ཝ་ཤིན་ཏྲོན།	Washington, D.C.
སན་ཧྥུ་རན་སིས་ཁོ	San Francisco
པེར་ལིན།	Berlin
གློག་ཀླད།	Datamaskin
པེར་ནེ།	Bern
ཀྲེ་ནེ་ཝ།	Genève
བ་རག་ཨོ་པྰ་མ།	Barack Obama
ཨུ་རུ་གུ་ཡེ།	Uruguay
པ་སེལ།	Basel
ལོན་ཊོན།	London
ཁ་ཡི་རོ	Kairo
ཡ་ལི་ཧྲན་ད	Alexandria
ཕ་རི།	Paris
མེག་སི་ཀོ།	Mexico
ནུབ་རྒྱ་མཚོ་ཆེན་པོ།	Atlanterhavet
ཞི་བདེ་རྒྱ་མཚོ་ཆེན་པོ།	Stillehavet
ཁྰ་ལེ་ཧྥོར་ནི་ཡ།	California
བོ་སེ་ཊོན།	Boston
གཟའ་ཟླ་བ།	Mandag
མིག་དམར།	Mars (planet)
མ་ཨེར་སི།	Mars (gud)
ཁེ་ནི་ཡ།	Kenya
ཨི་ཐི་ཨོ་པི་ཡ།	Etiopia
ཀ་ན།	Ghana
གཟའ་མིག་དམར།	Tirsdag
གཟའ་ལྷག་པ།	Onsdag
གཟའ་ཕུར་བུ།	Torsdag
གཟའ་པ་སངས།	Fredag
གཟའ་སྤེན་པ།	Lørdag
གཟའ་ཉི་མ།	Søndag
སེང་གེ།	Løve
ཧྥ་རན་སི།	Frankrike
ཁྱི།	Tamhund
དབྱིན་ཇི་མཉམ་འབྲེལ།	Storbritannia
ཞི་མི།	Tamkatt
ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Folkerepublikken Kina
