Àfrica	Afrika
Japó	Japan
Amèrica del Sud	Sør-Amerika
Noruega	Norge
Anglaterra	England
Escòcia	Skottland
Gal·les	Wales
Irlanda del Nord	Nord-Irland
República d'Irlanda	Irland
Hongria	Ungarn
Espanya	Spania
Estats Units d'Amèrica	USA
Bèlgica	Belgia
Luxemburg	Luxembourg
Univers	Universet
Terra	Jorden
Vida	Liv
Mort	Død
Humà	Menneske
Felicitat	Lykke
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Nombre de la bèstia	Dyrets tall
Leet	Leet
Imagine (cançó)	Imagine (sang)
Stanley Kubrick	Stanley Kubrick
Calendari maia	Mayakalender
Wikidata	Wikidata
Finlàndia	Finland
Suècia	Sverige
Dinamarca	Danmark
Polònia	Polen
Lituània	Litauen
Itàlia	Italia
Suïssa	Sveits
Àustria	Østerrike
Grècia	Hellas
Turquia	Tyrkia
Cervesa	Øl
Portugal	Portugal
Europa	Europa
Àsia	Asia
Amèrica del Nord	Nord-Amerika
Antàrtida	Antarktika
Viquipèdia	Wikipedia
All your base are belong to us	All your base are belong to us
Països Baixos	Nederland
Lolcat	Lolcat
Penis	Penis
PHP	PHP
Nova York	New York
Washington DC	Washington, D.C.
San Francisco	San Francisco
Berlín	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Ordinador	Datamaskin
Berna	Bern
Ginebra	Genève
Zuric	Zürich
IRC	IRC
Internet	Internett
Barack Obama	Barack Obama
Uruguai	Uruguay
Basilea	Basel
Impressora	Skriver
MediaWiki	MediaWiki
Londres	London
El Caire	Kairo
Cefalàlgia	Hodepine
Alexandria	Alexandria
Alexandria (Virgínia)	Alexandria (Virginia)
Poma	Epleslekten
París	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mèxic	Mexico
Oceà Atlàntic	Atlanterhavet
Oceà Pacífic	Stillehavet
Califòrnia	California
Boston	Boston
Lopado­temakho­selakho­galeo­kranio­leipsano­drim­hypo­trimmato­silphio­karabo­melito­katakekhy­meno­kikhl­epi­kossypho­phatto­perister­alektryon­opto­kephallio­kigklo­peleio­lagōio­siraio­baphē­tragano­pterýgōn	Lopado...pterygon
Supercalifragilisticexpialidocious	Supercalifragilisticexpialidocious
Dilluns	Mandag
Espai	Rom (fysikk)
Gener	Januar
Febrer	Februar
Març	Mars (måned)
Mart (planeta)	Mars (planet)
Mart (mitologia)	Mars (gud)
Kenya	Kenya
Etiòpia	Etiopia
Monarca	Monark
Ghana	Ghana
Abril	April
Maig	Mai
Juny	Juni
Juliol	Juli
Agost	August
Setembre	September
Octubre	Oktober
Novembre	November
Desembre	Desember
Dimarts	Tirsdag
Dimecres	Onsdag
Dijous	Torsdag
Divendres	Fredag
Dissabte	Lørdag
Diumenge	Søndag
Alfil	Løper (sjakk)
Peó (escacs)	Bonde (sjakk)
Cavall (escacs)	Springer (sjakk)
Torre (escacs)	Tårn (sjakk)
Rei (escacs)	Konge (sjakk)
Dama (escacs)	Dronning (sjakk)
Lleó	Løve
França	Frankrike
Esperanto	Esperanto
Gos	Tamhund
Regne Unit	Storbritannia
Gat	Tamkatt
República Popular de la Xina	Folkerepublikken Kina
Francès	Fransk
Viccionari	Wiktionary
Peix	Fisk
Etanol	Etanol
Beguda alcohòlica	Alkoholholdig drikke
Brasil	Brasil
Alcohol	Alkoholer
François Hollande	François Hollande
Rússia	Russland
Cetaci	Hvaler
Fibra tèxtil	Fiber
Fibra òptica	Fiberoptikk
Yorkshire	Yorkshire
Quadrat (polígon)	Kvadrat
Mar	Hav
Mar Negra	Svartehavet
Nombre π	Pi
Pi (lletra grega)	Pi (bokstav)
Partits Pirata Internacional	Pirate Parties International
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Estat de São Paulo	São Paulo (delstat)
Quebec	Québec
Pizza	Pizza
Pasta	Pasta
Boeing 747	Boeing 747
Fundació Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alemanya	Tyskland
Bielorússia	Hviterussland
Larry Sanger	Larry Sanger
Il Canto degli Italiani	Fratelli d'Italia
Alemany	Tysk
Islàndia	Island
Déu	Gud
Estònia	Estland
David Cameron	David Cameron
Saturn (planeta)	Saturn
Anells de Saturn	Saturns ringer
Xocolata	Sjokolade
Avió	Fly
Guerra	Krig
U (nombre)	1 (tall)
Dos	2 (tall)
Tres	3 (tall)
Quatre	4 (tall)
Cinc	5 (tall)
Zero	Null
Infinit	Uendelig
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Rectangle	Rektangel
Letònia	Latvia
Ucraïna	Ukraina
República Txeca	Tsjekkia
Eslovàquia	Slovakia
Eslovènia	Slovenia
Vílnius	Vilnius
República de Moldàvia	Moldova
Romania	Romania
Bulgària	Bulgaria
Roma	Roma
República de Macedònia	Republikken Makedonia
Albània	Albania
Grenlàndia	Grønland
Croàcia	Kroatia
Bòsnia i Hercegovina	Bosnia-Hercegovina
Nuuk	Nuuk
Azerbaidjan	Aserbajdsjan
Andorra	Andorra
Xipre	Republikken Kypros
Geòrgia	Georgia
Valònia	Vallonia
Kazakhstan	Kasakhstan
República de Malta	Malta
Flandes	Flandern
Mònaco	Monaco
Montenegro	Montenegro
Ciutat del Vaticà	Vatikanstaten
San Marino	San Marino
Regió de Brussel·les-Capital	Brussel
Cuba	Cuba
Belize	Belize
Torre Eiffel	Eiffeltårnet
Barbados	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Teclat d'ordinador	Tastatur
Java (llenguatge de programació)	Java (programmeringsspråk)
Indonèsia	Indonesia
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turc	Tyrkisk
Conjunt de Mandelbrot	Mandelbrotmengden
Sud-àfrica	Sør-Afrika
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Algèria	Algerie
Viquitexts	Wikikilden
Huracà Sandy	Orkanen Sandy
Uzbekistan	Usbekistan
Dròsera	Soldoggslekta
Poznań	Poznań
Taixkent	Tasjkent
Varsòvia	Warszawa
Islay	Islay
Festival de la Cançó d'Eurovisió	Eurovision Song Contest
Mòdena	Modena
Lagavulin	Lagavulin
Whisky	Whisky
Vi	Vin
Aigua	Vann
Conyac	Konjakk
Cognac	Cognac (Charente)
Cuir	Lær
Fusta	Treverk
Tours	Tours
Televisió	Fjernsyn
Sexe	Kjønn
Pornografia	Pornografi
Islandès	Islandsk
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Xile	Chile
Saga islandesa	Islendingesaga
El Greco	El Greco
Jesús de Natzaret	Jesus Kristus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Mercuri (planeta)	Merkur
Història	Historie
Cementiri del Père-Lachaise	Père Lachaise
Apple Inc	Apple
Venus (planeta)	Venus
Llenguatge	Språk
Amor	Kjærlighet
Dictadura	Diktatur
Galàxia	Galakse
Júpiter (planeta)	Jupiter
Michelle Bachelet	Michelle Bachelet
Via Làctia	Melkeveien
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Big Bang	Big Bang
Urà (planeta)	Uranus
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Bretanya	Bretagne (historisk region)
Viquipèdia en anglès	Wikipedia på engelsk
Nicolas Sarkozy	Nicolas Sarkozy
Batalla de Marignano	Slaget ved Marignano
Ricardo Lagos	Ricardo Lagos
Neptú (planeta)	Neptun (planet)
Astronomia	Astronomi
Singapur	Singapore
Patricio Aylwin	Patricio Aylwin
Ciència	Vitenskap
Cosmologia	Kosmologi
Plutó (planeta nan)	Pluto
Mont-real	Montréal
Programari lliure	Fri programvare
Quimper	Quimper
La Flèche	La Flèche
Futur	Fremtid
Maria, mare de Jesús	Jomfru Maria
Lluís IX de França	Ludvig IX av Frankrike
Liechtenstein	Liechtenstein
Esport	Sport
Cambridge	Cambridge
Parc Nacional de Yellowstone	Yellowstone nasjonalpark
Adolf Hitler	Adolf Hitler
Blanca de Castella i d'Anglaterra	Blanka av Castilla
Facebook	Facebook
Google+	Google+
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Primera Guerra Mundial	Første verdenskrig
Segona Guerra Mundial	Andre verdenskrig
Colònia (Alemanya)	Köln
Corrupció	Korrupsjon
Viquillibres	Wikibøker
Augusto Pinochet Ugarte	Augusto Pinochet
Viquidites	Wikiquote
Wikiversity	Wikiversity
Viquiviatges	Wikivoyage
Vodka	Vodka
Gofra	Vafler
Rellotge	Klokke (ur)
Ianka Kupala	Janka Kupala
Ubuntu	Ubuntu (operativsystem)
Skopje	Skopje
Gdynia	Gdynia
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Metrologia	Metrologi
Matemàtiques	Matematikk
U2	U2
Llatí	Latin
Bahrain	Bahrain
Armènia	Armenia
Jenna Jameson	Jenna Jameson
Escriptura cuneïforme	Kileskrift
Bosó de Higgs	Higgs-boson
Sèrbia	Serbia
Lluna	Månen
Istanbul	Istanbul
Linda Lovelace	Linda Lovelace
Austràlia	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologia	Astrobiologi
Placa de les Pioneer	Pioneerplatene
Física	Fysikk
Argentina	Argentina
Xiulet gomerenc	Silbo gomero
Telecomunicació	Telekommunikasjon
Perú	Peru
Biologia	Biologi
Objecte volador no identificat	Uidentifisert flygende objekt
Corea del Nord	Nord-Korea
Cambodja	Kambodsja
Drets dels animals	Dyrerettigheter
Cinturó de Kuiper	Kuiperbeltet
Alcorà	Koranen
Dinosaure	Dinosaurer
Zoologia	Zoologi
Islam	Islam
Biblioteca d'Alexandria	Biblioteket i Alexandria
Ljubljana	Ljubljana
Salvador Allende Gossens	Salvador Allende
Botànica	Botanikk
Naturalis Historia	Naturalis Historia
Ich bin ein Berliner	Ich bin ein Berliner
Lech Wałęsa	Lech Wałęsa
Roda	Hjul
Encyclopédie	Encyclopédie
Denis Diderot	Denis Diderot
Georges Brassens	Georges Brassens
Ment	Sinn
Pau	Fred
Encyclopædia Britannica	Encyclopædia Britannica
Lió	Lyon
Poissy	Poissy
Unió Europea	Den europeiske union
Plòvdiv	Plovdiv
Internet Archive	Internet Archive
La guerra de les galàxies	Star Wars
Roine-Alps	Rhône-Alpes
World Wide Web	World Wide Web
Dona	Kvinne
Esfera de Dyson	Dyson-sfære
Memex	Memex
Sofia	Sofia
Aqüeducte	Akvedukt
Eduardo Frei Montalva	Eduardo Frei Montalva
Ñ	Ñ
El Quixot	Don Quijote
.xxx	.xxx
Poesia	Poesi
Megaupload	Megaupload
Virus informàtic	Datavirus
Accident de Txernòbil	Tsjernobyl-ulykken
Somriure	Smil
Bombardejos atòmics d'Hiroshima i Nagasaki	Atombombene over Hiroshima og Nagasaki
Bill Maher	Bill Maher
Milà	Milano
Amistat	Vennskap
Memòria (psicologia)	Hukommelse
Arthur Rimbaud	Arthur Rimbaud
Torí	Torino
Excrement	Avføring
Anus	Anus
Llimoner	Sitron
Charles Pierre Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banana	Bananer
Émile Zola	Émile Zola
666	666
Flor	Blomst
Googol	Googol
Googolplex	Googolplex
Fossa de les Mariannes	Marianergropen
Vladímir Vissotski	Vladimir Vysotskij
Everest	Mount Everest
Anatomia	Anatomi
Ciutat	By
Napoleó Bonaparte	Napoléon Bonaparte
Olympus Mons	Olympus Mons
Fisiologia	Fysiologi
Estrella	Stjerne
Vesuvi	Vesuv
Sol	Solen
Louis Pasteur	Louis Pasteur
Any llum	Lysår
Poble (localitat)	Landsby
Victor Hugo	Victor Hugo
Oceania	Oseania
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletisme	Friidrett
Censura	Sensur (informasjon)
Sistema solar	Solsystemet
Mar Bàltica	Østersjøen
Trieste	Trieste
Vístula	Wisła
Betta splendens	Siamesisk kampfisk
Avinguda dels Camps Elisis	Avenue des Champs-Élysées
Oder	Oder
Dent	Tann
Hidrogen	Hydrogen
Patti Smith	Patti Smith
Heli	Helium
Infern	Helvete
Wikimedia Commons	Wikimedia Commons
Purgatori	Skjærsilden
Angela Merkel	Angela Merkel
Liti	Litium
Beril·li	Beryllium
Altaveu	Høyttaler
Llibre	Bok
Dia	Dag
Timor Oriental	Øst-Timor
Nit	Natt
Any	År
Segle	Århundre
Łódź	Łódź
Villeurbanne	Villeurbanne
Mont Blanc	Mont Blanc
Rin	Rhinen
Oslo	Oslo
Bonn	Bonn
Tots Sants	Allehelgensdag
Katowice	Katowice
Forat negre	Sort hull
Luís de Camões	Luís de Camões
Intocable	De urørlige
Ceres (planeta nan)	Ceres (dvergplanet)
Lisboa	Lisboa
Rzeszów	Rzeszów
Ichiro Suzuki	Ichiro Suzuki
Haumea (planeta nan)	Haumea
Roine	Rhône
Makemake (planeta nan)	Makemake
Michael Bloomberg	Michael Bloomberg
Kateri Tekakwitha	Kateri Tekákwitha
Iona	Iona
Eris (planeta nan)	Eris (dvergplanet)
Dubai (ciutat)	Dubai (by)
Dubai	Dubai
Lionel Andrés Messi	Lionel Messi
Senyoria de Beaujeu	Beaujolais
Pàdua	Padova
Bor	Bor (grunnstoff)
Nicolau Copèrnic	Nikolaus Kopernikus
Versalles	Versailles
Ludwigsburg	Ludwigsburg
Carboni	Karbon
Alessandro Del Piero	Alessandro Del Piero
Volga	Volga
Nitrogen	Nitrogen
Bèrgam	Bergamo
Oxigen	Oksygen
Football Club Internazionale Milano	Inter
Jean Moulin	Jean Moulin
Neil Young	Neil Young
Planeta	Planet
Cleòpatra VII	Kleopatra VII av Egypt
Kate Bush	Kate Bush
Música	Musikk
Aberració (òptica)	Aberrasjon (optikk)
Venècia	Venezia
Naruto	Naruto
Riu Po	Po
Xarm el-Xeikh	Sharm el-Sheikh
Riu Nevà	Neva
Termòmetre	Termometer
Rennes	Rennes
Lilla	Lille
Moscou	Moskva
Fluor	Fluor
Italià	Italiensk
Chihuahua (gos)	Chihuahua (hund)
Neó	Neon
Estat de Chihuahua	Chihuahua (delstat)
Sant Petersburg	St. Petersburg
Txad	Tsjad
Sodi	Natrium
Nord	Nord
Magnesi	Magnesium
Neon Genesis Evangelion	Neon Genesis Evangelion
Alumini	Aluminium
Nova Zelanda	New Zealand
Lugdunum	Lugdunum
Sud	Sør
Índia	India
Silici	Silisium
Franci	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Fòsfor	Fosfor
André-Marie Ampère	André-Marie Ampère
Prosa	Prosa
Ferro	Jern
Tonga	Tonga
Oest	Vest
Alessandro Volta	Alessandro Volta
Sofre	Svovel
Samoa	Samoa
Est	Øst
Salomó (estat)	Salomonøyene
Vanuatu	Vanuatu
Molière	Molière
Clor	Klor
Delft	Delft
Papua Nova Guinea	Papua Ny-Guinea
William Shakespeare	William Shakespeare
Faula	Fabel
Holanda Meridional	Zuid-Holland
República de Palau	Palau
Argó	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Conte de fades	Eventyr
Holanda Septentrional	Noord-Holland
Estats Federats de Micronèsia	Mikronesiaføderasjonen
Potassi	Kalium
Olympique Lyonnais	Olympique Lyonnais
Zelanda	Zeeland
Calci	Kalsium
Flevoland	Flevoland
Plom	Bly
Illes Marshall	Marshalløyene
Kiribati	Kiribati
Mongòlia	Mongolia
Fiji	Fiji
Escandi	Scandium
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Titani	Titan (grunnstoff)
Veneçuela	Venezuela
Escacs	Sjakk
Genguis Khan	Djengis Khan
Vanadi	Vanadium
Maine	Maine
Crom	Krom
Cavall	Hest
Amsterdam	Amsterdam
Arma	Våpen
Animal	Dyr
Surinam	Surinam
Manganès	Mangan
Paraguai	Paraguay
Guyana	Guyana
Art	Kunst
Equador	Ecuador
Reni	Rhenium
Colòmbia	Colombia
Cobalt	Kobolt
Jean Racine	Jean Racine
Tungstè	Wolfram
Níquel	Nikkel
Fragaria	Jordbærslekta
Pierre Corneille	Pierre Corneille
Budisme	Buddhisme
Groningen	Groningen (by)
Bolívia	Bolivia
Osmi	Osmium
Província de Groningen	Groningen (provins)
Coure	Kobber
Trinitat i Tobago	Trinidad og Tobago
Paul Verlaine	Paul Verlaine
Planta	Planter
Saint Vincent i les Grenadines	Saint Vincent og Grenadinene
Zinc	Sink
Nou Hampshire	New Hampshire
Saint Lucia	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Saint Christopher i Nevis	Saint Kitts og Nevis
Fong	Sopper
Dario Fo	Dario Fo
Jamaica	Jamaica
Stéphane Mallarmé	Stéphane Mallarmé
Grenada	Grenada
Província de Frísia	Friesland (Nederland)
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland	Gelderland
Província d'Utrecht	Utrecht (provins)
Google Chrome	Google Chrome
Bahames	Bahamas
Connecticut	Connecticut
Gall	Tamhøns
Antigua i Barbuda	Antigua og Barbuda
Hawaii	Hawaii
Hondures	Honduras
Dominica	Dominica
Jersey	Jersey
República Dominicana	Den dominikanske republikk
Porc	Gris
Oceà Àrtic	Nordishavet
Haití	Haiti
Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Iran	Iran
Iraq	Irak
Alaska	Alaska
Assen	Assen
Saviesa	Visdom
Costa Rica	Costa Rica
Israel	Israel
Utrecht	Utrecht (by)
Panamà	Panama
Iemen	Jemen
Randstad	Randstad
Lausana	Lausanne
Virus	Virus
Polonès	Polsk
Jordània	Jordan
Nicaragua	Nicaragua
Florida	Florida
Kirguizistan	Kirgisistan
Gabriel González Videla	Gabriel González Videla
Arizona	Arizona
Kuwait	Kuwait
Província de Florida	Provinsen Florida
Laos	Laos
Província de Cercado (Beni)	Provinsen Cercado (Beni)
Líban	Libanon
Província d'Iténez	Provinsen Iténez
Oregon	Oregon
Maldives	Maldivene
Província de José Ballivián	Provinsen José Ballivián
Amèrica	Amerika
Utah	Utah
Bou	Storfe
Província de Mamoré	Provinsen Mamoré
Malàisia	Malaysia
Valais	Wallis
Mikhaïl Bulgàkov	Mikhail Bulgakov
Myanmar	Myanmar
Nepal	Nepal
Andrei Rubliov	Andrej Rubljov
Província de Marbán	Provinsen Marbán
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Qatar	Qatar
Tennis	Tennis
François Villon	François Villon
MySQL	MySQL
Aràbia Saudita	Saudi-Arabia
Andrei Tarkovski	Andrej Tarkovskij
Sri Lanka	Sri Lanka
Ióssif Stalin	Josef Stalin
Codi de barres	Strekkode
República Àrab Siriana	Syria
Plató	Platon
Foobar	Foo
Gal·li	Gallium
Joseph Brodsky	Josif Brodskij
Tadjikistan	Tadsjikistan
Pokémon	Pokémon
República de la Xina	Republikken Kina
YouTube	YouTube
Germani	Germanium
Aristòtil	Aristoteles
Tailàndia	Thailand
Tren	Jernbanetog
Arsènic	Arsen
Ràdio	Radio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistan
Abakan	Abakan
Seleni	Selen
Iridi	Iridium
Emirats Àrabs Units	De forente arabiske emirater
Brom	Brom
Platí	Platina
Vietnam	Vietnam
Charles Chaplin	Charlie Chaplin
Novossibirsk	Novosibirsk
Corea del Sud	Sør-Korea
Józef Piłsudski	Józef Piłsudski
Els Simpson	Simpsons
Iekaterinburg	Jekaterinburg
Criptó	Krypton
Afganistan	Afghanistan
Gangnam Style	Gangnam Style
Nijni Nóvgorod	Nizjnij Novgorod
John R.R. Tolkien	J. R. R. Tolkien
Llimonada	Limonade
Samara	Samara
Rubidi	Rubidium
Or	Gull
Omsk	Omsk
Canal de Suez	Suezkanalen
Kazan	Kazan
Científic	Naturviter
Bangla Desh	Bangladesh
Bleach	Bleach (manga)
Franz Kafka	Franz Kafka
Txeliàbinsk	Tsjeljabinsk
Gordon Freeman	Gordon Freeman
