ᎬᎿᎦᏍᏛ	Afrika
ᏣᏩᏂᏏ	Japan
ᏧᎦᎾᏮ ᎠᎹᏰᏟ	Sør-Amerika
ᎠᏂᏍᏆᏂᏱ	Spania
ᏌᏊᎢᏳᎾᎵᏍᏔᏅᏍᎦᏚᎩ ᎾᎿ ᎠᎺᏰᏟ	USA
ᏇᎵᏥᎥᎻ	Belgia
ᎡᎶᎯ	Jorden
ᏣᏥ ᏩᏒᏓᎾ	George Washington
ᏫᏂᎦᏙᎯ	Finland
ᏍᏫᏕᏂ	Sverige
ᏗᏂᎹᎦ	Danmark
ᏉᎳᏂ	Polen
ᎢᏔᎵ	Italia
ᏍᏫᏍ	Sveits
ᎠᏍᏟᏯ	Østerrike
ᎪᎢᎯ	Hellas
ᎬᏃ	Tyrkia
ᏉᏥᎦᎳ	Portugal
ᏳᎳᏛ	Europa
ᏓᎶᏂᎦᏍᏛ	Asia
ᏧᏴᏢ ᎠᎹᏰᏟ	Nord-Amerika
ᏧᏁᏍᏓᎸ	Antarktika
ᏫᎩᏇᏗᏯ	Wikipedia
ᎾᏍᎩ ᏁᏛᎳᏂ	Nederland
ᏩᏙᎵ	Penis
ᏄᏯᎩ BMX	New York
ᏆᎳᎩ ᎣᏆᎹ	Barack Obama
ᎫᎴ ᏗᏍᎪᏂᎯᏱ	London
ᏒᎦᏔ	Epleslekten
ᎺᏏᎪ	Mexico
ᎤᏃᎸᏔᏅ	Januar
ᎧᎦᎵ	Februar
ᎠᎾᏱᎵᏒ	Mars (måned)
ᎹᏏ	Mars (planet)
ᎫᏬᏂ	April
ᎠᎾᏍᎬᏘ	Mai
ᏕᎭᎷᏱ	Juni
ᎫᏰᏉᏂ	Juli
ᎦᎶᏂ	August
ᏚᎵᏍᏗ	September
ᏚᏂᏃᏗ	Oktober
ᏅᏓᏕᏆ	November
ᎥᏍᎩᏱ	Desember
ᏢᏓᏥ ᎤᏃᏕᎾ	Løve
ᎩᏟ	Tamhund
ᎩᎵᏏᏲ	Storbritannia
ᏪᏌ	Tamkatt
ᏓᎶᏂᎨᏍᏛ	Folkerepublikken Kina
ᎠᏣᏗ	Fisk
ᏆᏏᎵ	Brasil
ᏲᏂᎢ	Russland
Cetacea	Hvaler
ᎠᏛᏥ	Tyskland
ᏇᎳᎷᏍ	Hviterussland
ᎠᏂᏛᏥ ᎦᏬᏂᎯᏍᏗ	Tysk
ᏧᏁᏍᏓᎸᎯ	Island
ᎡᏍᏙᏂᏯ	Estland
ᏌᏓᏂ	Saturn
ᏣᏥ ᎡᏙᎯ ᏊᏏ	George W. Bush
ᏳᎧᎴᏂ	Ukraina
ᏤᎩ ᏍᎦᏚᎩ	Tsjekkia
ᎹᎵᏙᏫᎠ	Moldova
ᎶᎹᏂᏯ	Romania
ᎹᏏᏙᏂᎢᎠ	Republikken Makedonia
ᎠᎵᏇᏂᏯ	Albania
