ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	USA
ᐃᑕᓖ	Italia
ᑐᕒᑭ	Tyrkia
Atimw	Tamhund
ᐱᔥᑎᑯᔮᐤ ᐊᔨᒧᐎᓐ	Fransk
ᓇᒣᔅ	Fisk
ᑯᐯᒃ	Québec
ᓃᐲᔾ	Vann
Wikipedia:Archives/ᐲᔖᑲᓐ	Lær
Star Wars	Star Wars
ᒌᔑᑳᐅᐲᓯᒽ	Solen
ᐱᓯᐢᑭᐤ	Dyr
ᐅᐲᑭᒋᑳᓇ	Planter
Wikipedia:Archives/ᑳᔭᒦᒪᑲᐦᒡ	Radio
ᑭᑲᓯᑲᒋ ᑌᐊᐁᓭᐊᕃ	Julius Cæsar
Itasinâsowin	Farge
Estakok miroskamin	Vår
Nipin	Sommer
Takwakin	Høst
Wikipedia:Archives/ᐅᒑᐹᓂᔥ	Bil
ᐧᐁᒥᔥᑎᑯᔒᐤ ᐊᔨᒧᐧᐃᓐ	Engelsk
ᐅᓐᑌᕇᐤ	Ontario
ᒪᓂᑐᐸ	Manitoba
Category:Template	Kategori:Maler
Wikipedia:Archives/ᐅᓴᔅᑯ	Osasco
ᑯᓐᕗᓯ	Konfucius
ᓃᔥᑕᒻᐹᔅᑌᒋᓂᑲᓐ	Portal:Forside
Category:Candidates for speedy deletion	Kategori:Sider som er foreslått raskt slettet
ᐲᐧᓭᐋᐃᐦᑯᓈᐤ	Brød
Wikipedia:Archives/ᒎᒎᔑᓈᐴ	Melk
ᐧᐊᔒ	Fjell
ᒥᔥᑎᒄ	Tre
Wikipedia:Archives/ᑳᒋᐦᑳᔥᑌᐦᑎᐦᒡ	Film
ᑳᐅᔅᑎᐦᑖᑯᓂᒋᐸᐦᑖᑦ	Snøscooter
ᒪᐦᐃᐦᑲᓐ	Ulv
Wikipedia:Archives/ᐯᔭᑯᔥᑌᐤ	9 (tall)
Wikipedia:Archives/ᒪᔅᒋᓯᓐ	Sko
Wikipedia:Archives/ᓃᐧᔖᔥᒡ	7 (tall)
Wikipedia:Archives/ᓂᔮᓈᓀᐤ	8 (tall)
ᐫᑦᕂᓇ	Entrena
Wikipedia:Archives/Sálená	Selena
Wikipedia:Archives/ᓕᓚ ᕤᐒᓄᔅ	Lila Downs
Kâ-isiwepahki	Årstid
ᐁᐧᐦᐁᐧᐤ	Snøgås
ᒋᔮᐢᐠ	Måker
ᐧᑳᐦᐧᑳᐱᔒᔥ	Sommerfugler
ᐄᔅᒌᒣᐧᐊᑎᒻ	Kanadisk eskimohund
ᓂᒋᒄ	Oter
ᐃᔨᔨᐤ ᐊᔨᒧᐎᓐ'	Cree (språk)
Wikipedia:Archives/ᒥᑎᐦᒌ	Hånd
ᐊᓂᔑᓈᐯᒧᐎᓐ	Ojibwa (språk)
Mos	Elg
ᐅᓵᐅᔅᒄ	Brunbjørn
Wikipedia:Archives/ᐃᔥᐧᑳᐦᑌᒻ	Dør
'ᓵᒋᐦᐄᐧᐁᐧᐃᒌᔑᑳᐤ	Valentinsdagen
ᐊᑎᐦᒄ	Rein
Wikipedia:Archives/ᐱᔨᒌᔅ	Bukse
ᒪᐦᐃᐦᑲᓐᑖᔥᑎᒥᒄ	Prærieulv
Wikipedia:Archives/ᓰᐲᓯᔅ	Bekk
ᐊᒥᔅᒄ	Bevere
Template:Commonscat	Mal:Commonscat
