Aafrika	Afrika
Jaapan	Japan
Lõuna-Ameerika manner	Sør-Amerika
Norra	Norge
Inglismaa	England
Šotimaa	Skottland
Wales	Wales
Põhja-Iirimaa	Nord-Irland
Iirimaa	Irland
Ungari	Ungarn
Hispaania	Spania
Ameerika Ühendriigid	USA
Belgia	Belgia
Luksemburg	Luxembourg
Universum	Universet
Maa (planeet)	Jorden
Elu	Liv
Surm	Død
Inimene	Menneske
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Leet	Leet
Imagine	Imagine (sang)
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Soome	Finland
Rootsi	Sverige
Taani	Danmark
Poola	Polen
Leedu	Litauen
Itaalia	Italia
Šveits	Sveits
Austria	Østerrike
Kreeka	Hellas
Türgi	Tyrkia
Õlu	Øl
Portugal	Portugal
Euroopa	Europa
Aasia	Asia
Põhja-Ameerika manner	Nord-Amerika
Antarktis	Antarktika
Vikipeedia	Wikipedia
All your base are belong to us	All your base are belong to us
Holland	Nederland
Suguti	Penis
PHP	PHP
New York	New York
Washington	Washington, D.C.
San Francisco	San Francisco
Berliin	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Arvuti	Datamaskin
Bern	Bern
Genf	Genève
Zürich	Zürich
IRC	IRC
Internet	Internett
Barack Obama	Barack Obama
Uruguay	Uruguay
Basel	Basel
Printer	Skriver
MediaWiki	MediaWiki
London	London
Kairo	Kairo
Peavalu	Hodepine
Aleksandria	Alexandria
Õun	Epleslekten
Pariis	Paris
Abraham Lincoln	Abraham Lincoln
Android (operatsioonisüsteem)	Android
Google	Google
Mehhiko	Mexico
Atlandi ookean	Atlanterhavet
Vaikne ookean	Stillehavet
California	California
Boston	Boston
Esmaspäev	Mandag
Ruum	Rom (fysikk)
Jaanuar	Januar
Veebruar	Februar
Märts	Mars (måned)
Marss	Mars (planet)
Mars	Mars (gud)
Keenia	Kenya
Etioopia	Etiopia
Monarh	Monark
Ghana	Ghana
Aprill	April
Mai	Mai
Juuni	Juni
Juuli	Juli
August	August
September	September
Oktoober	Oktober
November	November
Detsember	Desember
Teisipäev	Tirsdag
Kolmapäev	Onsdag
Neljapäev	Torsdag
Reede	Fredag
Laupäev	Lørdag
Pühapäev	Søndag
Oda (male)	Løper (sjakk)
Ettur	Bonde (sjakk)
Ratsu	Springer (sjakk)
Vanker (male)	Tårn (sjakk)
Kuningas (male)	Konge (sjakk)
Lipp (male)	Dronning (sjakk)
Lõvi	Løve
Prantsusmaa	Frankrike
Esperanto	Esperanto
Koer	Tamhund
Suurbritannia	Storbritannia
Kass	Tamkatt
Hiina	Folkerepublikken Kina
Prantsuse keel	Fransk
Vikisõnastik	Wiktionary
Kalad	Fisk
Etanool	Etanol
Alkohoolne jook	Alkoholholdig drikke
Brasiilia	Brasil
Alkoholid	Alkoholer
François Hollande	François Hollande
Venemaa	Russland
Vaalalised	Hvaler
Kiud	Fiber
Valgusjuhe	Fiberoptikk
Yorkshire	Yorkshire
Ruut	Kvadrat
Meri	Hav
Must meri	Svartehavet
Pii	Pi
Pii (täht)	Pi (bokstav)
Viki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
São Paulo osariik	São Paulo (delstat)
Québec	Québec
Pitsa	Pizza
Pasta	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Saksamaa	Tyskland
Valgevene	Hviterussland
Saksa keel	Tysk
Island	Island
Jumal	Gud
Eesti	Estland
David Cameron	David Cameron
Saturn	Saturn
Šokolaad	Sjokolade
Lennuk	Fly
Sõda	Krig
Üks	1 (tall)
Kaks	2 (tall)
Kolm	3 (tall)
Null	Null
Lõpmatus	Uendelig
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Ristkülik	Rektangel
Täisnurk	Rettvinklet
Läti	Latvia
Ukraina	Ukraina
Tšehhi	Tsjekkia
Slovakkia	Slovakia
Sloveenia	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Rumeenia	Romania
Bulgaaria	Bulgaria
Rooma	Roma
Makedoonia	Republikken Makedonia
Albaania	Albania
Gröönimaa	Grønland
Horvaatia	Kroatia
Bosnia ja Hertsegoviina	Bosnia-Hercegovina
Nuuk	Nuuk
Aserbaidžaan	Aserbajdsjan
Andorra	Andorra
Küpros	Republikken Kypros
Gruusia	Georgia
Valloonia	Vallonia
Kasahstan	Kasakhstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatikan	Vatikanstaten
San Marino	San Marino
Pealinna Brüsseli piirkond	Brussel
Kuuba	Cuba
Belize	Belize
Eiffeli torn	Eiffeltårnet
Barbados	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Sõrmistik	Tastatur
Java	Java (programmeringsspråk)
Indoneesia	Indonesia
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Türgi keel	Tyrkisk
Lõuna-Aafrika Vabariik	Sør-Afrika
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Alžeeria	Algerie
Vikitekstid	Wikikilden
Sandy (orkaan)	Orkanen Sandy
Usbekistan	Usbekistan
Huulhein	Soldoggslekta
Poznań	Poznań
Taškent	Tasjkent
Varssavi	Warszawa
Islay	Islay
Eurovisiooni lauluvõistlus	Eurovision Song Contest
Modena	Modena
Viski	Whisky
Vein	Vin
Vesi	Vann
Konjak	Konjakk
Nahk (materjal)	Lær
Puit	Treverk
Tours	Tours
Televisioon	Fjernsyn
Pornograafia	Pornografi
Islandi keel	Islandsk
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Tšiili	Chile
El Greco	El Greco
Jeesus	Jesus Kristus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Merkuur	Merkur
Ajalugu	Historie
Père-Lachaise'i kalmistu	Père Lachaise
Apple Inc.	Apple
Veenus	Venus
Keel	Språk
Armastus	Kjærlighet
Diktatuur	Diktatur
Galaktika	Galakse
Jupiter	Jupiter
Michelle Bachelet	Michelle Bachelet
Linnutee galaktika	Melkeveien
Llanfair­pwllgwyn­gyllgo­gery­chwyrn­drobwll­llanty­silio­gogo­goch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Suur Pauk	Big Bang
Uraan (planeet)	Uranus
