非洲	Afrika
日本	Japan
南美洲	Sør-Amerika
挪威	Norge
愛爾蘭	Irland
西班牙	Spania
美國	USA
地球	Jorden
過世	Død
人	Menneske
幸福	Lykke
喬治·華盛頓	George Washington
芬蘭	Finland
瑞典	Sverige
丹麥	Danmark
波蘭	Polen
意大利	Italia
希臘	Hellas
土耳其	Tyrkia
啤酒	Øl
歐洲	Europa
亞洲	Asia
北美洲	Nord-Amerika
南極洲	Antarktika
維基百科	Wikipedia
荷蘭	Nederland
卵	Penis
紐約市	New York
華盛頓哥倫比亞特區	Washington, D.C.
舊金山	San Francisco
柏林	Berlin
洛杉磯	Los Angeles
電腦	Datamaskin
互聯網	Internett
奧巴馬	Barack Obama
倫敦	London
蘋果	Epleslekten
巴黎	Paris
亞伯拉罕·林肯	Abraham Lincoln
Google	Google
墨西哥	Mexico
大西洋	Atlanterhavet
太平洋	Stillehavet
加利福尼亞州	California
波士頓	Boston
禮拜一	Mandag
一月	Januar
二月	Februar
三月	Mars (måned)
火星	Mars (planet)
埃塞俄比亞	Etiopia
4月	April
5月	Mai
六月	Juni
七月	Juli
八月	August
九月	September
十月	Oktober
十一月	November
十二月	Desember
禮拜二	Tirsdag
禮拜三	Onsdag
禮拜四	Torsdag
禮拜五	Fredag
禮拜六	Lørdag
禮拜天	Søndag
法國	Frankrike
狗	Tamhund
英國	Storbritannia
貓	Tamkatt
中華人民共和國	Folkerepublikken Kina
法語	Fransk
魚	Fisk
酒	Alkoholholdig drikke
巴西	Brasil
俄羅斯	Russland
方形	Kvadrat
海	Hav
黑海	Svartehavet
圓周率	Pi
阿拉巴馬州	Alabama
聖保羅	São Paulo
德國	Tyskland
德語	Tysk
土星	Saturn
飛行器	Fly
打仗	Krig
1	1 (tall)
2	2 (tall)
3	3 (tall)
4	4 (tall)
5	5 (tall)
無限	Uendelig
烏克蘭	Ukraina
羅馬	Roma
克罗地亚	Kroatia
古巴	Cuba
印度尼西亞	Indonesia
莫扎特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
南非	Sør-Afrika
維基文庫	Wikikilden
葡萄酒	Vin
水	Vann
木	Treverk
電視	Fjernsyn
冰島語	Islandsk
摩內	Claude Monet
韋拿克	Diego Velázquez
智利	Chile
耶穌	Jesus Kristus
貓王	Elvis Presley
伽利略	Galileo Galilei
水星	Merkur
歷史	Historie
金星	Venus
語言	Språk
愛	Kjærlighet
木星	Jupiter
天王星	Uranus
海王星	Neptun (planet)
天文學	Astronomi
新加坡	Singapore
科學	Vitenskap
運動	Sport
希特勒	Adolf Hitler
Facebook	Facebook
第一次世界大戰	Første verdenskrig
第二次世界大戰	Andre verdenskrig
鐘	Klokke (ur)
數學	Matematikk
拉丁語	Latin
月光	Månen
伊斯坦布爾	Istanbul
澳大利亞	Australia
物理學	Fysikk
阿根廷	Argentina
電信	Telekommunikasjon
朝鮮民主主義人民共和國	Nord-Korea
柬埔寨	Kambodsja
恐龍	Dinosaurer
駄	Hjul
狄德羅	Denis Diderot
心智	Sinn
萬維網	World Wide Web
女人	Kvinne
詩	Poesi
檸檬	Sitron
香蕉	Bananer
666年	666
花	Blomst
珠穆朗瑪峰	Mount Everest
城市	By
拿破崙	Napoléon Bonaparte
太陽	Solen
