આફ્રિકા	Afrika
જાપાન	Japan
દક્ષિણ અમેરિકા	Sør-Amerika
નોર્વે	Norge
વેલ્સ	Wales
નોર્ધન આયર્લેન્ડ	Nord-Irland
હંગેરી	Ungarn
સ્પેન	Spania
સંયુક્ત રાજ્ય અમેરિકા	USA
બેલ્જિયમ	Belgia
લક્ઝેમ્બર્ગ	Luxembourg
બ્રહ્માંડ	Universet
પૃથ્વી	Jorden
મનુષ્ય	Menneske
ફીનલેંડ	Finland
સ્વિડન	Sverige
પોલેંડ	Polen
લિથુઆનિયા	Litauen
ઈટલી	Italia
સ્વિત્ઝરલેન્ડ	Sveits
ઑસ્ટ્રિયા	Østerrike
ગ્રીસ	Hellas
તુર્કસ્તાન	Tyrkia
પોર્ટુગલ	Portugal
યુરોપ	Europa
એશિયા	Asia
ઉત્તર અમેરિકા	Nord-Amerika
ઍન્ટાર્કટિકા	Antarktika
વિકિપીડિયા	Wikipedia
નેધરલેંડ	Nederland
PHP (પ્રોગ્રામિંગ ભાષા)	PHP
એર બસ	Airbus
સંગણક	Datamaskin
ઇન્ટરનેટ	Internett
ઉરુગ્વે	Uruguay
કમ્પ્યુટર પ્રિન્ટર	Skriver
લંડન	London
એલેક્ઝાન્ડ્રિયા	Alexandria
સફરજન	Epleslekten
પૅરિસ	Paris
ગૂગલ	Google
મેક્સિકો	Mexico
સોમવાર	Mandag
જાન્યુઆરી	Januar
ફેબ્રુઆરી	Februar
માર્ચ	Mars (måned)
મંગળ (ગ્રહ)	Mars (planet)
કેન્યા	Kenya
ઇથિયોપિયા	Etiopia
ઘાના	Ghana
એપ્રિલ	April
મે	Mai
જૂન	Juni
જુલાઇ	Juli
ઓગસ્ટ	August
સપ્ટેમ્બર	September
ઓક્ટોબર	Oktober
નવેમ્બર	November
ડિસેમ્બર	Desember
મંગળવાર	Tirsdag
બુધવાર	Onsdag
ગુરુવાર	Torsdag
શુક્રવાર	Fredag
શનિવાર	Lørdag
રવિવાર	Søndag
એશિયાઇ સિંહ	Løve
ફ્રાન્સ	Frankrike
યુનાઇટેડ કિંગડમ	Storbritannia
ચીન	Folkerepublikken Kina
માછલી	Fisk
ઇથેનોલ	Etanol
મદ્યાર્ક યુક્ત પીણું	Alkoholholdig drikke
બ્રાઝિલ	Brasil
રશિયા	Russland
કાળો સમુદ્ર	Svartehavet
અલાબામા	Alabama
ક્વિબેક	Québec
વિકિમીડિયા ફાઉન્ડેશન	Wikimedia Foundation
જીમ્મી વેલ્સ	Jimmy Wales
જર્મની	Tyskland
બેલારુસ	Hviterussland
જર્મન ભાષા	Tysk
આઈસલેંડ	Island
ઈશ્વર	Gud
ઈસ્ટોનિયા	Estland
શનિ (ગ્રહ)	Saturn
૧	1 (tall)
૦ (શૂન્ય)	Null
લાટવિયા	Latvia
યુક્રેન	Ukraina
સ્લોવાકિયા	Slovakia
સ્લોવેનિયા	Slovenia
મોલ્દોવા	Moldova
રોમાનિયા	Romania
બલ્ગેરિયા	Bulgaria
મેસેડોનિયા	Republikken Makedonia
આલ્બેનિયા	Albania
ક્રોએશિયા	Kroatia
અઝેરબીજાન	Aserbajdsjan
સાયપ્રસ	Republikken Kypros
