Yn Affrick	Afrika
Yn Çhapaan	Japan
America Yiass	Sør-Amerika
Norlynn	Norge
Sostyn	England
Nalbin	Skottland
Bretyn	Wales
Nerin Hwoaie	Nord-Irland
Pobblaght Nerin	Irland
Yn Ungaar	Ungarn
Yn Spaainey	Spania
Steatyn Unnaneysit America	USA
Yn Velg	Belgia
Lucsemburg	Luxembourg
Yn Dowan	Jorden
Finnlynn	Finland
Yn Toolynn	Sverige
Yn Danvarg	Danmark
Yn Pholynn	Polen
Yn Litaan	Litauen
Yn Iddaal	Italia
Yn Elveeish	Sveits
Yn Austeyr	Østerrike
Yn Ghreag	Hellas
Yn Turkee	Tyrkia
Lhune	Øl
Yn Phortiugal	Portugal
Yn Oarpey	Europa
Yn Aishey	Asia
America Hwoaie	Nord-Amerika
Yn Antarctagh	Antarktika
Wikipedia	Wikipedia
Yn Çheer Injil	Nederland
Caayr York Noa	New York
Washington, D.C.	Washington, D.C.
San Francisco	San Francisco
Berleen	Berlin
Los Angeles	Los Angeles
Co-earrooder	Datamaskin
Berne	Bern
Eddyr-voggyl	Internett
Barack Obama	Barack Obama
Yn Ooraguay	Uruguay
Lunnin	London
Cairo	Kairo
Ooyl	Epleslekten
Paarys	Paris
Abraham Lincoln	Abraham Lincoln
Meksico	Mexico
Yn Keayn Sheear	Atlanterhavet
Yn Keayn Sheealtagh	Stillehavet
California	California
Boston	Boston
Jelune	Mandag
Jerrey Geuree	Januar
Toshiaght Arree	Februar
Mayrnt	Mars (måned)
Mart (planaid)	Mars (planet)
Yn Cheinney	Kenya
Yn Eetoip	Etiopia
Yn Ghaney	Ghana
Averil	April
Boaldyn	Mai
Mean Souree	Juni
Jerrey Souree	Juli
Luanistyn	August
Mean Fouyir	September
Jerrey Fouyir	Oktober
Mee Houney	November
Mee ny Nollick	Desember
Jemayrt	Tirsdag
Jecrean	Onsdag
Jerdein	Torsdag
Jeheiney	Fredag
Jesarn	Lørdag
Jedoonee	Søndag
Yn Rank	Frankrike
Moddey	Tamhund
Reeriaght Unnaneysit	Storbritannia
Kayt	Tamkatt
Deynphobblaght ny Sheen	Folkerepublikken Kina
Frangish	Fransk
Eeast	Fisk
Yn Vrasseel	Brasil
Alcoal	Alkoholer
François Hollande	François Hollande
Yn Roosh	Russland
Mooir	Hav
Yn Vooir Ghoo	Svartehavet
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Québec
Wikimedia	Wikimedia Foundation
Yn Ghermaan	Tyskland
Yn Velaroosh	Hviterussland
Germaanish	Tysk
Yn Eeslynn	Island
Jee	Gud
Yn Estaan	Estland
David Cameron	David Cameron
Sarn (planaid)	Saturn
Etlan	Fly
0 (earroo)	Null
George W. Bush	George W. Bush
Yn Latvey	Latvia
Yn Ookraan	Ukraina
Yn Phobblaght Çheck	Tsjekkia
Yn Clovack	Slovakia
Yn Clovean	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Yn Romaan	Romania
Yn Vulgeyr	Bulgaria
Yn Raue	Roma
Pobblaght ny Massadoan	Republikken Makedonia
Yn Albaan	Albania
Greenlynn	Grønland
Yn Chroit	Kroatia
Bosnia as Herzegovina	Bosnia-Hercegovina
Nuuk	Nuuk
Yn Asserbajaan	Aserbajdsjan
Andorra	Andorra
Yn Cheeprey	Republikken Kypros
Yn Çhorshey	Georgia
Yn Walloon	Vallonia
Yn Chassaghstaan	Kasakhstan
Yn Valta	Malta
Yn Flandyryn	Flandern
Monaco	Monaco
Montenegro	Montenegro
Ard-valley yn Phaab	Vatikanstaten
San Marino	San Marino
Yn Vrussyl	Brussel
Yn Choobey	Cuba
Yn Veleesh	Belize
Barbados	Barbados
Yn Indoneesh	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turkish	Tyrkisk
Yn Affrick Yiass	Sør-Afrika
Yn Algear	Algerie
Yn Oosbeckistaan	Usbekistan
Poznań	Poznań
Warszawa	Warszawa
Feeyn	Vin
Ushtey	Vann
Coinnagh	Konjakk
Çhellveeish	Fjernsyn
Eeslynnish	Islandsk
Yn Çhillee	Chile
Yeesey Chreest	Jesus Kristus
Elvis Presley	Elvis Presley
Curain	Merkur
Shennaghys	Historie
Badlag	Venus
Çhengey (çhaghteraght)	Språk
Co-rollageys	Galakse
Iupiter	Jupiter
Raad Mooar Ree Gorree	Melkeveien
Uraanus	Uranus
Yn Vritaan (çheer)	Bretagne (historisk region)
Nicolas Sarkozy	Nicolas Sarkozy
Neptioon	Neptun (planet)
Rollageydys	Astronomi
Singapore	Singapore
Oaylleeaght	Vitenskap
Pluto	Pluto
Cooid vog heyr	Fri programvare
Kemper	Quimper
Liechtenstein	Liechtenstein
Spoyrt	Sport
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Yn Chied Chaggey Dowanagh	Første verdenskrig
Yn Nah Chaggey Dowanagh	Andre verdenskrig
Koloin	Köln
Vodka	Vodka
Clag (traa)	Klokke (ur)
Yanka Kupala	Janka Kupala
Skopje	Skopje
Gdynia	Gdynia
Szczecin	Szczecin
Maddaght	Matematikk
Ladjyn	Latin
Bahrain	Bahrain
Yn Armeain	Armenia
Yn Serb	Serbia
Yn Eayst	Månen
İstanbul	Istanbul
Yn Austrail	Australia
Fishig	Fysikk
Yn Argenteen	Argentina
Yn Pheroo	Peru
Bea-oaylleeaght	Biologi
Yn Chorea Twoaie	Nord-Korea
Yn Chamboyd	Kambodsja
Cryss Kuiper	Kuiperbeltet
Jeeneysoar	Dinosaurer
Baagh-oaylleeaght	Zoologi
Yn Islam	Islam
Ljubljana	Ljubljana
Lus-oaylleeaght	Botanikk
Lech Wałęsa	Lech Wałęsa
Yn Unnaneys Oarpagh	Den europeiske union
Rhône-Alpes	Rhône-Alpes
Sofia	Sofia
Feeleeaght	Poesi
Limon	Sitron
Bananey	Bananer
Caayr	By
Fyshoaylleeaght	Fysiologi
Rollage	Stjerne
Yn Ghrian	Solen
PSR B1257+12	PSR B1257+12
Balley beg	Landsby
Corys ny Greiney	Solsystemet
Yn Vooir Valtagh	Østersjøen
Wisła	Wisła
Hiddragien	Hydrogen
Hailium	Helium
Angela Merkel	Angela Merkel
Litçhey	Litium
Beryllium	Beryllium
Lioar	Bok
Laa	Dag
Yn Teemor Hiar	Øst-Timor
Blein	År
Łódź	Łódź
Oslo	Oslo
Bonn	Bonn
Katowice	Katowice
Towl doo	Sort hull
Keres (planaid crivassanagh)	Ceres (dvergplanet)
Lisboa	Lisboa
Rzeszów	Rzeszów
Makemake (planaid crivassanagh)	Makemake
Eris (planaid crivassanagh)	Eris (dvergplanet)
Boron	Bor (grunnstoff)
Carboan	Karbon
Neetragien	Nitrogen
Ocsygien	Oksygen
Planaid	Planet
Kiaull	Musikk
Neva (awin)	Neva
Tempreilyssane	Termometer
Roazhon	Rennes
Lille	Lille
Moscow	Moskva
Fluoreen	Fluor
Iddaalish	Italiensk
Neoin	Neon
Caayr Pheddyr	St. Petersburg
Shad	Tsjad
Sodjum	Natrium
Magnaishum	Magnesium
Ollymin	Aluminium
Yn Teelynn Noa	New Zealand
