Afirka	Afrika
Japan	Japan
Norway	Norge
Ireland	Irland
Hungariya	Ungarn
An Spàinn	Spania
Amurika	USA
Beljik	Belgia
Luksamburg	Luxembourg
Duniya	Jorden
Yan-adam	Menneske
Finland	Finland
Sweden	Sverige
Denmark	Danmark
Poland	Polen
Lithuania	Litauen
Italiya	Italia
Switzerland	Sveits
Austriya	Østerrike
Greek	Hellas
Turkiyya	Tyrkia
Portugal	Portugal
Turai	Europa
Asiya	Asia
Amirka ta Arewa	Nord-Amerika
Wikipedia	Wikipedia
Berlin	Berlin
Airbus	Airbus
Na'ura	Datamaskin
Yanar gizo	Internett
Barack Obama	Barack Obama
Pariis	Paris
Kenya	Kenya
Ethiopia	Etiopia
Zaki	Løve
Faransa	Frankrike
Esperanto	Esperanto
Kare	Tamhund
Birtaniya	Storbritannia
Kyanwa	Tamkatt
Sin	Folkerepublikken Kina
Kifi	Fisk
Rasha	Russland
Teku	Hav
São Paulo	São Paulo
Jamus	Tyskland
Iceland	Island
Istoniya	Estland
Jirgin sama	Fly
Ɗaya	1 (tall)
Biyu	2 (tall)
Uku	3 (tall)
Huɗu	4 (tall)
Biyar	5 (tall)
Laitfiya	Latvia
Ukraniya	Ukraina
Kazech	Tsjekkia
Slofakiya	Slovakia
Sloveniya	Slovenia
MOldufiniya	Moldova
Romainiya	Romania
Bulgairiya	Bulgaria
Masadoiniya	Republikken Makedonia
Albaniya	Albania
Kroatiya	Kroatia
Azerbaijan	Aserbajdsjan
Andorra	Andorra
Cyprus	Republikken Kypros
Georgia (country)	Georgia
Kazakystan	Kasakhstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatican	Vatikanstaten
San Marino	San Marino
Indonesiya	Indonesia
Afirka ta kudu	Sør-Afrika
Aljeriya	Algerie
Uzbekistan	Usbekistan
Ruwa	Vann
Chile	Chile
Isa Almasihu	Jesus Kristus
Singafora	Singapore
Ilmi	Vitenskap
Liechtenstein	Liechtenstein
Hitler	Adolf Hitler
Facebook	Facebook
Baharain	Bahrain
Armeniya	Armenia
Serbiya	Serbia
Wata	Månen
Santanbul	Istanbul
Asturaliya	Australia
Koriya ta Arewa	Nord-Korea
Kambodiya	Kambodsja
Musulunci	Islam
Rana	Solen
Angela Merkel	Angela Merkel
Timor-Leste	Øst-Timor
Duniyoyi	Planet
Cadi	Tsjad
Indiya	India
Mangolia	Mongolia
Dabba	Dyr
Shuka	Planter
Kaza	Tamhøns
Jersey	Jersey
Aladu	Gris
Iran	Iran
Irak	Irak
Isra'ila	Israel
Yemen	Jemen
Jordan	Jordan
Kyrgystan	Kirgisistan
Kuwait	Kuwait
Laos	Laos
Lebanon	Libanon
Maldives	Maldivene
Maleziya	Malaysia
Myanmar	Myanmar
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudiyya	Saudi-Arabia
Sri Lanka	Sri Lanka
Siriya	Syria
Tajikistan	Tadsjikistan
Thailand	Thailand
Turkmenistan	Turkmenistan
Taraiyar larabawa	De forente arabiske emirater
Vietnam	Vietnam
Koriya ta Kudu	Sør-Korea
Da Simpsons	Simpsons
Afghanistan	Afghanistan
Bangladash	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhutan
Brunei	Brunei
Filipin	Filippinene
Togo	Togo
Benin	Benin
Botswana	Botswana
Burkina faso	Burkina Faso
Burundi	Burundi
Jamhuriyar dimokuradiyya Kwango	Den demokratiske republikken Kongo
Gine	Guinea
Kameru	Kamerun
Libya	Libya
Muritaniya	Mauritania
Nijar	Niger
Nijeriya	Nigeria
Uganda	Uganda
Senegal	Senegal
Julius Caesar	Julius Cæsar
Sudan	Sudan
Majalisar Ɗinkin Duniya	De forente nasjoner
Kofi Annan	Kofi Annan
Montevideo	Montevideo
Biri	Apekatter
Augustus	Augustus
Gibraltar	Gibraltar
Mota	Bil
Buenos Aires	Buenos Aires
Zinedine Yazid Zidane	Zinedine Zidane
Baibûl	Bibelen
Concepción, Chile	Concepción
Końskowola	Końskowola
Maciji	Slanger
Kimiya	Kjemi
Lima	Lima
Santiago de Chile	Santiago de Chile
Osasco	Osasco
Dong Hoi Filin	Dong Hoi lufthavn
Curitiba	Curitiba
Confucius	Konfucius
Kiristancìì	Kristendom
Nahiya	Kontinent
Tsuntsu	Fugler
Main Page	Portal:Forside
Saratov	Saratov
Bus	Buss
Åland	Åland
Makkah	Mekka
Canary Islands	Kanariøyene
Category:Candidates for speedy deletion	Kategori:Sider som er foreslått raskt slettet
Sahara	Sahara
Kyautar Nobel	Nobelprisen
Sauro	Stikkemygg
Raƙumi	Kameler
Giwa	Elefanter
Ƙudan zuma	Bier
Margaret Thatcher	Margaret Thatcher
Nelson Mandela	Nelson Mandela
Category:Fàransà	Kategori:Frankrike
Hakkokin Yan-adam	Menneskerettigheter
Hong Kong	Hongkong
Rio de Janeiro	Rio de Janeiro
Addini	Religion
Muhammad	Muhammed
Isle of Man	Man
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Bishiya	Tre
APACHE	Apache (webserver)
Lissafi	Tall
Masara	Mais
Ƙasashen Duniya	Liste over stater
Dabbar beya	Bjørnefamilien
Sankara	Kreft
Kurãme	Døvhet
Polio	Poliomyelitt
Makaman nukiliya	Kjernefysiske våpen
Macau	Macao
Raƙumin dawa	Sjiraff
Wikipedia:Community Portal	Wikipedia:Tinget
Jimina	Struts
Tara	9 (tall)
Jaki	Afrikansk villesel
Tuje	Trapper
Jamhuriyar Sin	Taiwan
Bakwai	7 (tall)
Takwas	8 (tall)
Dabbar rendiya	Hjortedyr
Tafarnuwa	Hvitløk
Shida	6 (tall)
Moshchena	Mosjtsjena
