ᐊᑉᕆᖄ	Afrika
ᓃᑉᐊᓐ	Japan
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	Sør-Amerika
ᓄᕐᒋ/nurgi	Norge
ᓯᐸᐃᓐ	Spania
ᐊᒥᐊᓕᑲ	USA
ᓄᓇ	Jorden
ᐄᒃ	Menneske
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Sverige
ᐳᓚᓐᑦ	Polen
ᓕᐋᑐᕙ	Litauen
Italy	Italia
ᐃᐆᕌᑉ	Europa
ᐊᓰᐊ	Asia
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	Nord-Amerika
ᐅᐃᑭᐱᑎᐊ	Wikipedia
ᐅᓱᒃ	Penis
ᐱᕐᓖᓐ	Berlin
ᖃᕋᓴᐅᔭᖅ	Datamaskin
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Internett
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᑭᒻᒥᓇᐅᔭᖅ	Epleslekten
ᒎᒐᓪ	Google
ᒦᒃᓰᖂ	Mexico
ᑳᓖᐴᕐᓃᐊ	California
ᒧᓇᑖᒃ	Mandag
ᔭᓐᓄᐊᓕ	Januar
ᕕᐳᐊᕆ	Februar
ᓇᑦᓯᐊᓕᐅᑦ	Mars (måned)
ᐊᐃᐳᕆᓪ	April
ᒪᐃ	Mai
ᔪᓂ	Juni
ᔪᓚᐃ	Juli
ᐊᐅᒍᔅ	August
ᓯᑎᒻᐳᕆ	September
ᐅᒃᑐᐳᕆ	Oktober
ᓄᕕᒻᐳᕆ	November
ᑎᓯᒻᐳᕆ	Desember
ᐃᓯᐱᕋᓐᑐ	Esperanto
ᕿᖕᒥᖅ	Tamhund
China	Folkerepublikken Kina
ᐅᐃᒍᐃᕐᒥᐅᖅ	Fransk
ᐃᖃᓗᒃ	Fisk
ᐊᖓᔮᕐᓇᖅᑐᖅ	Alkoholholdig drikke
ᐅᓛᓴ	Russland
ᐊᕐᕕᒃ	Hvaler
ᐅᐃᑭ	Wiki
ᐋᓛᐹᒫ	Alabama
ᑯᐸᐃᒃ	Québec
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Tyskland
ᑎᖕᒥᓲᖅ	Fly
ᐊᑭᕋᖅᑑᑎᔪᑦ	Krig
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilnius
ᐊᑯᑭᑦᑐᑦ	Grønland
ᖂᐹ/quupaa	Cuba
ᐄᓅᓯᐊ	Indonesia
ᓯᓕ	Chile
ᐱᐅᓕᑦᓯᔨ	Jesus Kristus
ᒥᕐᑰᕆ	Merkur
ᖃᐅᔨᓴᕐᓂᖅ ᑎᑎᖅᑲᑎᒍᑦ ᖃᓄᐃᓕᐅᖅᑕᐅᖃᑦᑕᕐᓂᑯᓂᒃ	Historie
ᕖᓄᔅ	Venus
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ	Kjærlighet
ᐅᕌᓄᔅ	Uranus
ᓂᑉᑑᓐ	Neptun (planet)
ᓯᓚᓯᐅᕐᓂᖅ	Astronomi
ᑉᓘᑐ	Pluto
ᒧᕆᐊᓪ	Montréal
ᑕᖅᑭᖅ	Månen
ᐊᔅᑦᕌᓕᐊ	Australia
ᐆᒫᑦᓱᓕᕆᓂᖅ/umatsuliriniq	Fysikk
ᐱᕉ	Peru
ᐆᒪᔅᓱᓯᖃᕐᑐᓕᕆᓂᖅ	Biologi
ᐊᖏᐋᕐᓂᖅ	Avføring
ᐃᑎᖅ	Anus
ᐱᕈᖅᑐᓴᔭᖅ/piruqtusajaq	Blomst
ᓄᓇᓖᑦ	By
ᐅᓪᓗᕆᐊᖅ	Stjerne
ᓯᕿᓂᖅ	Solen
ᐅᓯᐋᓂᐊ	Oseania
ᕿᒥᕐᕈᐊᑦ/qimirruat	Bok
ᖃᐅ	Dag
ᐅᑭᐅᖅ	År
ᒨᔅᑯ	Moskva
ᐃᓐᑎᐊ	India
ᓂᕐᔪᑦ	Dyr
ᐱᕈᖅᑐᖅ	Planter
ᒫᓵᓲᓰᑦᔅ	Massachusetts
ᐊ'ᐊ'ᐋᒃ	Tamhøns
ᐃᕉᒃ	Irak
ᐊᓛᓯᑲ	Alaska
ᑉᓘᕇᑖ	Florida
ᐋᕇᓲᓈ	Arizona
ᐆᕇᕇᓐ	Oregon
ᐸᑭᔅᑕᓐ	Pakistan
ᓄᑕᒐᒃ	Spedbarn
ᔪᓚᐃᐅᔅ	Julius Cæsar
ᓄᓇᓕᕆᓂᖅ	Geologi
ᓄᓇᐅᔪᖅ	Geografi
ᐄᓚᓄᐃᔅ	Illinois
ᑖᑰᑖ ᑐᓄᕕᐊᖅ	Nord-Dakota
ᑖᑰᑖ ᓂᒋᖅ	Sør-Dakota
ᐄᑖᓲ	Idaho
ᓂᕚᑖ	Nevada
ᑰᓘᕌᑑ	Colorado
ᓰᖄᑯ	Chicago
ᓯᐸᐃᓂᑎᑐᑦ	Spansk
ᐋᓯᕙᖅ	Edderkopper
ᒪᒪᖅᑐᖅ, ᓰᕐᓇᖅᑐᖅ ᐱᕈᖅᑐᖅ	Frukt
ᓂᐅ ᐃᐅᕐᒃ	New York (delstat)
ᐅᓵᐃᐅ	Ohio
ᐃᐊᐃᑖᓯᓐ/iaitaatsin	Uetersen
ᐊᐅᒍᔅᒻᐅᔅ	Augustus
ᐃᓐᑎᐋᓈ	Indiana
ᑖᒃᓵᔅ	Texas
ᑳᕉᓖᓈ ᑐᓄᕕᐊᖅ	Nord-Carolina
ᑳᕉᓖᓈ ᓂᒋᖅ	Sør-Carolina
ᑑᑭᐅ	Tokyo
ᒦᓰᓰᐲ (ᐃᓗᐊᓂ)	Mississippi
ᒦᓃᓲᑖ	Minnesota
ᐃᐅᕙ	Iowa
ᐦᐃᓐᑏ	Hindi
ᓗᐄᓰᐋᓈ	Louisiana
ᐆᑳᓛᓲᒫ	Oklahoma
ᔅᑑᒃᓱᓪᒻ/stuukhulm	Stockholm
ᖃᓪᓗᓈᑎᑐᑦ	Engelsk
ᐋᓐᑎᐅᕆᔪ	Ontario
ᐊᑐᕚ/atavaa	Ottawa
ᓄᓇᑦᓯᐊᖅ	Nordvestterritoriene
ᓄᓇᕗᑦ	Nunavut
2007	2007
ᐃᖃᓗᐃᑦ	Iqaluit
1999	1999
ᓂᕿ	Mat
ᖃᓂᖅ ᖁᐊᔪᖅ	Oralsex
ᒪᓪᒧ/malmu	Malmö
ᐊᔪᒃᑕᖅ	Fotball
ᖂᖄ ᑰᓛ	Coca-Cola
ᒫᑭᓐᓯ ᑰᒃ	Mackenzie (elv)
ᓯᕿᓃᖅᓯᖅᑐᖅ	Solformørkelse
ᐃᓕᓐᓂᐊᕈᑎᒃᓴᓕᐅᕐᕕᒃ	Skole
ᑎᒥ	Menneskets anatomi
ᑰᒃ	Elv
Kunpusiusi	Konfucius
ᑮᓱᐊ	Quechua
ᐊᒥᖅ	Portal:Forside
ᐊᓇᐅᓕᒐᖅ	Baseball
ᐃᓄᒃᑕᐅᑦ	Buss
ᓴᓂᓕᐊᖅᑐᖅ	Samleie
ᐅᑦᓱᒃ	Vagina
ᐃᓱᒪᓕᐅᕐᓂᖅ	Filosofi
ᐃᓅᖃᑎᒌᑦ ᐃᓕᖅᑯᓯᖃᑎᒌᒃᑐᑦ	Nasjon
ᑲᐅ ᓂᕿ ᑭᒻᒥᐊᒐᖅ ᕿᖂᔭᖅ	Hamburger
ᑯᓂᑉᐳᖅ	Kyss
ᕿᖓᖅ	Nese
ᐃᔨ	Øye
ᑭᒃᑐᕆᐊᖅ	Stikkemygg
ᐱᓱᒃᑎ	Pattedyr
ᐊᕿᑦᑐᖅ ᖃᕆᑕᐅᔭᐅᑉ ᑎᑎᕋᕐᕕᖓ	Programvare
ᒥᑎᖅ	Andefamilien
ᐊᐳᑦ	Snø
ᐃᖏᕐᕋᔾᔪᑎᑦ	Transport
ᕝᓛᑎᒥᕐ ᐴᑎᓐ	Vladimir Putin
ᕿᖂᔭᖅ	Brød
ᔅᕙᐦᐃᓕᑐᑦ	Swahili
ᒥᓂ	Regn
ᓴᔪᑉᐱᓛᕗᖅ	Jordskjelv
ᓄᕗᔭᖅ	Sky
ᐅᓚᔪᔭᖅ	Tornado
ᐅᖄᓯᓕᕆᓂᖅ	Lingvistikk
ᐃᓕᓴᐅᑎᒃ	Det latinske alfabetet
ᐃᓕᓐᓂᐊᖅᑐᓕᕆᓂᖅ	Utdannelse
ᐊᖑᑎ	Mann
ᐃᓄᐃᑎᑦᑐᖅ	Abort
ᐃᒻᒧᒃ	Melk
ᔅᕗᓐᔅᑭᑐᑦ	Svensk
ᐃᕕᐊᖏᖅ	Bryst
ᑯᕆᐊᑎᑐᑦ	Koreansk
ᐃᒡᔪᒃ	Testikkel
ᐃᒫᓗᒃ	Verdenshav
ᖃᐸᒃ	Sperma
Ronald Reagan	Ronald Reagan
ᓱᑲᒃ	Sukker
ᓴᓇᕐᕈᑏᑦ ᐊᑑᑎᖏᑕᓗ ᖃᐅᔨᒪᔭᐅᓂᖓ	Teknologi
ᑎᑎᕋᐅᔭᖅ	Ingeniørvitenskap
ᐋᔩᖃᑎᒋᖏᖅ	Kommunikasjon
ᑖᒃᑎ	Medisin
ᕿᓚᐅᑦ	Tromme
ᐄᒐᑕᐃᕕᑦᓴᐃᑦ	Spill
ᐱᕈᕐᓰᓂᖅ ᓂᐅᕐᕈᑎᒃᓴᓕᐊᕆᓪᓗᒋᑦ	Landbruk
ᐊᐅᑦᓯᓇᖅᑐᖅ	Klær
ᒧᒥᖅᑐᖅ	Dans
ᓯᕗᓕᐅᖅᐹ ᐊᓪᓚᒍᑎ ᖃᐅᔨᓴᕐᓂᖅ ᑎᑎᖅᑲᑎᒍᑦ ᖃᓄᐃᓕᐅᖅᑕᐅᖃᑦᑕᕐᓂᑯᓂᒃ/sivuliuqpaa allaguti qaujisarniq titiqqatigut qanuiliuqtauqattarnikunik	Forhistorisk tid
ᐊᑎᖅᐳᖅ	Bjørnefamilien
ᑭᒍᑎᓕᕆᔨ	Odontologi
ᑐᓵᓐᖏᓐᓂᖅ	Døvhet
ᐊᓐᓂᐊᒥ ᖃᐅᔨᓴᕐᓂᖅ	Legemiddel
ᐃᒡᓗᕐᔪᐊᑦ ᐋᖅᑭᒃᓯᒪᓂᖏᑦ	Arkitektur
ᑭᒍᑎᙳᐊᑦ ᓂᐱᑎᓯᒪᔪᑦ	Bro
ᑭᓯᑦᓯᓯᖕᖑᕐᓗᒋᑦ ᐹᓯᔅᓱᑎᔅᓴᑦ	Statistikk
ᓴᕕᒐᐅᔭᖅ/ikumautit	Elektrisitet
ᐊᕋᕕ	Arabisk
ᑲᓇᑕᒥ ᐊᖓᔪᖅᑳᕐᔪᐊᖅ	Premierminister
ᓴᐃᒻᒪᑎ	Flagg
ᐊᓪᓛᑦ	Blyant
ᐊᓴᐱ	HIV
ᐅᐃᑭᐱᑎᐊ:ᐱᐅᔪᖅ ᒪᑉᐱᑕᖅ	Wikipedia:Utmerkede artikler
ᐅᐃᑭᐱᑎᐊ:ᐹᕐᓂᖅ	Wikipedia:Tinget
ᐋᓐᓂᐊᕐᕕᒃ	Sykehus
ᓯᑮᑐ	Snøscooter
ᐃᒥᐊᓗᒃᑕᐃᓕᒪᓂᕐᒧᑦ ᐃᑲᔪᖃᑎᒌᒡᕕᒃ	Anonyme alkoholikere
ᐊᒪᕈᒃ	Ulv
ᐊᕿᒃᑭᖅ	Hvithalerype
ᑐᓴᐅᒪᖃᑦᑕᐅᑎᔾᔪᑎᓂᒃ ᐊᐅᓚᑦᑎᔩᑦ/tusaumaqattautijjutinik aulattijiit	Informatikk
ᒥᓗᑦᓱᑳᒐᖅ	Tomat
ᑎᒦᑦᕆ ᒥᑦᕖᑎᕝ	Dmitrij Medvedev
ᕿᒥᕐᕈᐊᑦ ᐅᓐᓂᖅᑐᖅ ᒥᑦᓯ ᑐᑭᐊ	Ordbok
ᓖᓚ ᑕᓅᔅ	Lila Downs
ᐆᑉᓴᓚ/uupsala	Uppsala
ᐃᐅᑕᐳᕆ	Göteborg
ᑲᕐᓪᔅᑕᑦ	Karlstad
ᒧᓪᓐᓕᑭ/ Mölnlycke	Mölnlycke
ᐳᐃᔨᒃ	Selfamilien
ᑲᓇᑕᒥ ᐃᓄᐃᑦ ᐅᖃᐅᓯᖏᑦ	Eskimoisk-aleutiske språk
ᑭᕝᒐᓗᒃ	Bisam
ᑲᑉᐳᑎᒨᖅᑐᖅ	Elektrisk effekt
ᐆᒃᑐᕋᐃᓂᖅ	Eksamen
ᒧᓪᓐᑕᓪ/Mölndal	Mölndal
ᓄᔭᐃᑦ	Hår
ᐃᓄᒃᑎᑐᑦ	Inuktitut
ᐸᒥᐅᖅᑑᖅ	Oter
ᒥᖏᑎᑕᐅᑎᔪᖅ	Boksing
ᖃᕆᑕᐅᔭᕋᓛᖅ ᐊᑕᐅᓯᖅᓯᐅᑦ/qaritaujaralaaq atrausiqsiuit	Mikrodatamaskin
ᓇᓄᖅ	Isbjørn
ᑲᓪᓕᑕᖅ	Lyn
ᐊᒡᒐᒃ	Hånd
ᐊᑭᕈᐊᕈᖅ	Blad
ᕙᓪᐸᕃᓱ	Valparaíso
ᖁᖅᓗᕐᓂᖅ	Foss
ᓯᐊᙳᓰᖂ	Oaxaca
ᐱᓚᒥᔅ	Flamsk (språk)
ᓯᐅᕋᖅ	Sand (materiale)
ᑕᕋᖅᑑᑦ	Røntgenstråling
ᐃᓗ	Grotte
ᑐᒃᑐᕙᒃ	Elg
ᓇᑕᖅᑯᕐᓇᐃᑦ/nataqqurnait	Hagl
ᐊᕕᙵᖅ	Mus (slekt)
ᐊᑯᖅ	Bukt
ᑐᒃᑐ	Rein
ᐃᒥᐊᓗᒃ	Drikke
ᔨᓐᓂᐱᕐ ᓗᐱᔅ	Jennifer Lopez
ᐊᐃᕕᖅ	Hvalross
ᑐᖁᖓᔪᒥᒃ ᖃᐅᔨᓴᕐᓂᖅ	Obduksjon
ᖃᐅᔨᓴᕐᓂᖅ	Forskning
ᓇᐹᖅᑐᖃᕈᓐᓇᙱᑦᑐᖅ	Tundra
ᑭᒡᒐᕕᒃ	Falker
ᖃᓪᓗ	Øyenbryn
ᑕᑦᕿᖅᓯᖅᑐᖅ	Måneformørkelse
ᐃᓂᖅᑐᐃᒍᑎ	Frykt
ᖁᐱᓪᕈᖅ	Makk
ᐱᑉᓯ ᑰᓛ	Pepsi
ᒥᖅᓱᑎ	Symaskin
ᓈᕌᔩᖅ	Springpadder
ᑎᑎᖅᑲᓕᐅᕈᑦ ᖃᕆᑕᐅᔭᙳᐊᒃᑯᑦ	Tekstbehandling
ᐳᑕᖅ	Tallerken
ᓯᖓᐃᑦᔪᑎ	Spermie
ᐃᑭᐊᖅᖠᖅ/ikiaqłiq	Skjorte
ᐆ ᑲᓇᑕ	O Canada
ᐃᒡᓗ	Iglo
ᓄᓇᖃᖅᑳᖅᓯᒪᔪᑦ	Urfolk
ᒪᒃᐱᖅᑕᐅᑦ	Gevær
ᐃᕙᓗᕕᒃ ᐊᖑᑦ	Kroppsbygging
ᐃᕐᒥᒡᕕᒃ	Vaskemaskin
ᓂᐱᐅᑦ	Lim
ᕇ ᓕᖏᑏᖂ	One Direction
ᐃᒥᒐᖅ	Brus
ᐆᒥᓱᑦᑐᖅ	Hat
ᑎᒻᒥᕗᖅ/timmivuq	Husflue
ᓂᐱ	Arkiv
ᐅᒃᐱᒃ	Snøugle
ᓯᓚᐅᕐᖏᖓ	Eskatologi
ᐃᓄᒃ	Mennesker
ᑕᓕᐊᖅ	Armbåndsur
ᓂᕿᓂᐅᕕᕐᕕᒃ	Supermarked
ᐅᒥᒻᒪᖅ	Moskusfe
ᖃᕆᑕᐅᔭᖅ ᐊᒥᓱᓯᐅᑦ	Minidatamaskin
ᐊᒥᐃᐅᓕᐅᕈ	Kopimaskin
ᐃᓄᐃᑦ (ᓄᓇᖃᖅᑳᖅᓯᒪᔪᑦ)	Inuitter
ᐅᓪᓛᖅ/ullaaq	Soloppgang
ᖁᐸᓄᐊᕐᔪᐊᖅ	Blåskrike
ᐊᑭᖃᙱᑦᑐᒃᑯᑦ ᑕᐅᖅᓰᖃᑦᑕᕐᓂᖅ	Frihandel
ᐋᒪᐃᔪᖅ	Rus
ᐊᖓᔮᕐᓇᖅᑐᖅ ᓯᓕᙴᑎᕚ ᐅᓪᓛᒃ	Bakrus
ᕕᓯᐸ ᐱᐊᓯᐅ	Vespa
ᐱᓃᐊᔅᐃᕝᒥᕐᒃ	Phineas og Ferb
ᕕᐅ	Anggun
ᕿᖅᑯᐊᖅ	Makroalge
ᐅᖃᖅᑐᖅ	Talehandling
ᐅᕐᔭᖕ	Årjäng
ᓇᓂᑦᓯᑰᔭᐃᑦ	Cornflakes
ᑐᐱᙳᐊᖅ	Adamseple
ᓴᕝᓕ	Säffle
ᐃᖃᓗᑉᐱᒃ	Røye
ᑕᑯᒥᓇᖅᓕᐅᖅᑎᑦ	Kunstner
ᐃᑕ	Eda kommune
ᔭᐊᒻᐋᕉ	Hammarö kommune
ᕗᕐᓴᒐ	Forshaga kommune
ᓱᓇ	Sunne kommune
ᔅᑐᕐᕗᕐᔅ	Storfors kommune
ᑐᕐᔅᐳ	Torsby kommune
ᒃᕆᔅᑎᓂᔭᒻᓐ	Kristinehamn kommune
ᐸᒃᑭ	Finger
ᐊᕐᕕᑲ	Arvika
ᑐᐱᓚᒃ	Tupilaq
ᒃᓚᐊᐱᑕ/klaipita	Klaipėda
ᕕᓕᑉᔅᑕᑦ	Filipstad (Sverige)
ᓴᓐᓇ	Havkvinnen
ᐊᒡᕗᕐᔅ	Hagfors
ᑭᓪ	Kil (Värmland)
ᐊᕿᐊᕈᖅ	Magesekk
ᐃᓄᒃᓱᒃ	Inuksuk
ᓄᓇᕕᒃ	Nunavik
ᐅᖓᕙ ᑲᖏᖅᓗᒃ	Ungavabukten
ᓐᓂᓗᐱᔅ'ᐊᕐ	Agnes Monica
Category:ᑲᓇᑕ	Kategori:Canada
Category:ᐱᕈᖅᑐᖅ/piruqtuq	Kategori:Planter
Category:ᖃᐅᔨᓴᕐᓃᑦ	Kategori:Vitenskap
ᒡᕈᒻᔅ	Grums
ᒧᓐᒃᕗᕐᔅ	Munkfors
ᓂᕿᑦᓯᐊᕙᓕᕆᓂᖅ	Ernæring
Category:ᓇᐃᑦᑐᒥᒃ ᐅᖃᓕᒫᕐᕕᒃ	Kategori:Stubber
Category:ᐊᖏᔪᖅ ᒥᕗᒃ	Kategori:Kontinenter
Category:Wikipedia bots	Kategori:Boter
Category:ᐃᓅᖃᑎᒌᑦ ᐃᓕᖅᑯᓯᖃᑎᒌᒃᑐᑦ	Kategori:Land
ᐅᐃᑭᐱᑎᐊoikipitia:ᑐᑭᓕᐅᖅᐹinuluriji	Wikipedia:Administratorer
ᐅᐃᑭᐱᑎᐊ:Bots	Wikipedia:Roboter
Category:ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Kategori:Internett
Category:ᐃᓕᓐᓂᐊᖅᑐᓕᕆᓂᖅ/ilinniaqtuliriniq	Kategori:Utdanning
ᑯᓇᔅ/kunas	Kaunas
ᐅᐃᑭᐱᑎᐊ:Sock puppetry	Wikipedia:Sokkedukker
Template:Bot	Mal:Bot
ᑲᓇᑕ	Canada
Category:ᔅᕗᕆᑭ	Kategori:Sverige
Template:Documentation	Mal:Dokumentasjon
Category:Babel	Kategori:Wikipedia-brukere etter språk
ᐅᐃᑭᐱᑎᐊ:ᓇᐃᑦᑐᒥᒃ ᐅᖃᓕᒫᕐᕕᒃ	Wikipedia:Stubb
Template:Softredirect	Mal:Softredirect
Template:ᓂᐸᖅᑎᐹ	Mal:Hurtigsletting
Category:ᐅᖃᕐᕕᐅᑎᔪᑦ	Kategori:Språk
Category:ᐅᐃᑭᐱᑎᐊ	Kategori:Wikipedia
Template:!	Mal:!
Category:ᑕᒃᕿᒃ	Kategori:Måneder
Template:Babel	Mal:Babel
Template:Commons	Mal:Commons
Template:Reflist	Mal:Referanser
Template:Stub	Mal:Stubb
Template:Mod	Mal:Mod
Template:Ai	Mal:Reg-velkommen
Category:User fr-1	Kategori:Bruker fr-1
Template:Lang-ar	Mal:Ar
Category:User en-4	Kategori:Bruker en-4
Category:User en	Kategori:Bruker en
Category:User en-2	Kategori:Bruker en-2
Category:User hi	Kategori:Bruker hi
Template:IPA	Mal:IPA
Template:LangWithName	Mal:Language with name
Category:ᖃᕋᓴᐅᔭᖅ	Kategori:Datamaskiner
Category:User ja-N	Kategori:Bruker ja-N
Template:Lang-en	Mal:Lang-en
Category:User gsw-1	Kategori:Bruker gsw-1
Template:InterWiki	Mal:InterWiki
Category:User simple	Kategori:Bruker simple
Category:User az	Kategori:Bruker az
Category:User be	Kategori:Bruker be
Category:User hr	Kategori:Bruker hr
Category:User eo	Kategori:Bruker eo
Category:User et	Kategori:Bruker et
Category:User fr	Kategori:Bruker fr
Category:User gl	Kategori:Bruker gl
