აფრიკა	Afrika
იაპონია	Japan
სამხრეთი ამერიკა	Sør-Amerika
ნორვეგია	Norge
ინგლისი	England
შოტლანდია	Skottland
უელსი	Wales
ჩრდილოეთი ირლანდია	Nord-Irland
ირლანდია	Irland
უნგრეთი	Ungarn
ესპანეთი	Spania
ამერიკის შეერთებული შტატები	USA
ბელგია	Belgia
ლუქსემბურგი	Luxembourg
სამყარო	Universet
დედამიწა	Jorden
სიცოცხლე	Liv
სიკვდილი	Død
ადამიანი	Menneske
ბედნიერება	Lykke
ჯორჯ ვაშინგტონი	George Washington
დაგლას ადამსი	Douglas Adams
ტიმ ბერნერს-ლი	Tim Berners-Lee
Imagine (სიმღერა)	Imagine (sang)
სტენლი კუბრიკი	Stanley Kubrick
ვიკიმონაცემები	Wikidata
ფინეთი	Finland
შვედეთი	Sverige
დანია	Danmark
პოლონეთი	Polen
ლიტვა	Litauen
იტალია	Italia
შვეიცარია	Sveits
ავსტრია	Østerrike
საბერძნეთი	Hellas
თურქეთი	Tyrkia
ლუდი	Øl
პორტუგალია	Portugal
ევროპა	Europa
აზია	Asia
ჩრდილოეთი ამერიკა	Nord-Amerika
ანტარქტიდა	Antarktika
ვიკიპედია	Wikipedia
ნიდერლანდი	Nederland
PHP	PHP
ნიუ-იორკი	New York
ვაშინგტონი	Washington, D.C.
სან-ფრანცისკო	San Francisco
ბერლინი	Berlin
ლოს-ანჯელესი	Los Angeles
Boeing	Boeing
Airbus	Airbus
კომპიუტერი	Datamaskin
ბერნი	Bern
ჟენევა	Genève
ციურიხი	Zürich
ინტერნეტი	Internett
ბარაკ ობამა	Barack Obama
ურუგვაი	Uruguay
ბაზელი	Basel
პრინტერი	Skriver
MediaWiki	MediaWiki
ლონდონი	London
კაირო	Kairo
ალექსანდრია	Alexandria
პარიზი	Paris
აბრაამ ლინკოლნი	Abraham Lincoln
Android	Android
Google	Google
მექსიკა	Mexico
ატლანტის ოკეანე	Atlanterhavet
წყნარი ოკეანე	Stillehavet
კალიფორნია	California
ბოსტონი	Boston
ორშაბათი	Mandag
სივრცე	Rom (fysikk)
იანვარი	Januar
თებერვალი	Februar
მარტი	Mars (måned)
მარსი	Mars (planet)
მარსი (ღმერთი)	Mars (gud)
კენია	Kenya
ეთიოპია	Etiopia
მეფე	Monark
განა	Ghana
აპრილი	April
მაისი	Mai
ივნისი	Juni
ივლისი	Juli
აგვისტო	August
სექტემბერი	September
ოქტომბერი	Oktober
ნოემბერი	November
დეკემბერი	Desember
სამშაბათი	Tirsdag
ოთხშაბათი	Onsdag
ხუთშაბათი	Torsdag
პარასკევი	Fredag
შაბათი	Lørdag
კვირა	Søndag
კუ (ჭადრაკი)	Løper (sjakk)
პაიკი	Bonde (sjakk)
