Afelika	Afrika
Japan	Japan
Norge	Norge
Hongrie	Ungarn
Espania	Spania
Belezi	Belgia
Luxembourg	Luxembourg
Ntoto	Jorden
Muntu	Menneske
Finlandi	Finland
Suedi	Sverige
Danemark	Danmark
Pologne	Polen
Lietuva	Litauen
Italia	Italia
Suisi	Sveits
Autriche	Østerrike
Gelesi	Hellas
Turki	Tyrkia
Mputulukesi	Portugal
Mputu	Europa
Azia	Asia
Pays-Bas	Nederland
Berlin	Berlin
Ludinatelo	Datamaskin
Paris	Paris
Kenya	Kenya
Itiopia	Etiopia
Gana	Ghana
Nkosi	Løve
Fwalansa	Frankrike
Royaume-Uni	Storbritannia
Nyawu	Tamkatt
Sina	Folkerepublikken Kina
Kifalanse	Fransk
Brazil	Brasil
François Hollande	François Hollande
Rusia	Russland
Kalunga	Hav
Alemanyi	Tyskland
Belarusia	Hviterussland
Kidoitce	Tysk
Islande	Island
Estonia	Estland
Ndèke	Fly
Vita	Krig
4 (ntalu)	4 (tall)
Latvia	Latvia
Uklenyi	Ukraina
République tchèque	Tsjekkia
Slovakia	Slovakia
Slovenia	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Romania	Romania
Balgaria	Bulgaria
Roma	Roma
Makedonia	Republikken Makedonia
Albania	Albania
Kroatia	Kroatia
Bosna	Bosnia-Hercegovina
Azerbaidjan	Aserbajdsjan
Andora	Andorra
Kipros	Republikken Kypros
Kazakhstan	Kasakhstan
Malta	Malta
Monako	Monaco
Monte Negro	Montenegro
Vatican	Vatikanstaten
Saint-Marin	San Marino
Repubilika ya Afelika ya Sudi	Sør-Afrika
Algeria	Algerie
Uzbekistan	Usbekistan
Maza	Vann
Chile	Chile
Yesu	Jesus Kristus
Ndinga	Språk
Kizabu	Vitenskap
Liechtenstein	Liechtenstein
Ubuntu	Ubuntu (operativsystem)
Skopje	Skopje
Kilatini	Latin
Bahrain	Bahrain
Armenia	Armenia
Serbie	Serbia
Australia	Australia
Fizika	Fysikk
Kisilamu	Islam
Dinu	Tann
Mweta	Planet
Moskva	Moskva
Saint Petersburg	St. Petersburg
Tasadi	Tsjad
Nôde	Nord
India	India
Kibende	Jern
Kibulu	Dyr
Mutako	Kobber
Ayiti	Haiti
Iran	Iran
Israel	Israel
Jordan	Jordan
Kuwait	Kuwait
Amelika	Amerika
Oman	Oman
Qatar	Qatar
Lukalu	Jernbanetog
Vietnam	Vietnam
Wolo	Gull
Mali	Mali
Ngola	Angola
Tanzania	Tanzania
Repubilika ya Afelika ya Kati	Den sentralafrikanske republikk
Togo	Togo
Tunisia	Tunisia
Zambia	Zambia
Zimbabwe	Zimbabwe
Beijing (kizunga)	Beijing
Sudan ya Sudi	Sør-Sudan
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoro	Komorene
Repubilika ya Kôngo	Republikken Kongo
Repubilika ya Kôngo ya Dimokalasi	Den demokratiske republikken Kongo
Djibuti	Djibouti
Bavaria	Bayern
Ginea ya Ekwatelo	Ekvatorial-Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
Ngabu	Gabon
Gambia	Gambia
Ginea	Guinea
Ginea-Bisau	Guinea-Bissau
Côte d'Ivoire	Elfenbenskysten
Kamerun	Kamerun
Kap Verde	Kapp Verde
Lesotho	Lesotho
Liberia	Liberia
Libia	Libya
Malagasi	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Moritania	Mauritania
Mauritius	Mauritius
Maroko	Marokko
Musambiki	Mosambik
Namibia	Namibia
Nijer	Niger
Nizeria	Nigeria
Uganda	Uganda
Rwanda	Rwanda
Santu Tome na Prinsipe	São Tomé og Príncipe
Senangale	Senegal
Seychell	Seychellene
Sierra Leone	Sierra Leone
Sômâlia	Somalia
Sudan	Sudan
Swati	Swaziland
Hamburg	Hamburg
Langi	Farge
Prague	Praha
Bule	Blå
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rheinland-Pfalz
Saarland	Saarland
Sachsen	Sachsen
Thüringen	Thüringen
Sachsen-Anhalt	Sachsen-Anhalt
Brandenburg	Brandenburg
Bremen (kizunga)	Bremen
Kalasi:Categories	Kategori:Kategorier
Kispanya	Spansk
Mbuma	Frukt
Uetersen	Uetersen
Tomabîlu	Bil
Bordo	Bordeaux
Barcelona	Barcelona
Kihindi	Hindi
Potsdam	Potsdam
Munich	München
Stockholm	Stockholm
Vaduz	Vaduz
Biblia	Bibelen
Ho Chi Minh City	Ho Chi Minh-byen
Kingelezi	Engelsk
Đồng Hới	Dong Hoi
Concepción	Concepción
Końskowola	Końskowola
1917	1917
Kurów	Kurów
1971	1971
1969	1969
Santiago de Chile	Santiago de Chile
Loire-Atlantique	Loire-Atlantique
Ain (kizunga)	Ain (departement)
Aisne (kizunga)	Aisne (departement)
Vosges (kizunga)	Vosges
Allier (kizunga)	Allier
Jura (kizunga)	Jura (departement)
Hautes-Alpes	Hautes-Alpes
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Alpes-Maritimes	Alpes-Maritimes
Ardèche (kizunga)	Ardèche
Ardennes (kizunga)	Ardennes
Ariège (kizunga)	Ariège
Aube (kizunga)	Aube
Aude (kizunga)	Aude
Aveyron (kizunga)	Aveyron
Bouches-du-Rhône	Bouches-du-Rhône
Calvados (kizunga)	Calvados (departement)
Cantal (kizunga)	Cantal
Charente (kizunga)	Charente
Charente-Maritime	Charente-Maritime
Cher (kizunga)	Cher (departement)
Corrèze (kizunga)	Corrèze
Haute-Corse	Haute-Corse
Corse-du-Sud	Corse-du-Sud
Côte-d'Or	Côte-d'Or
Côtes-d'Armor	Côtes-d'Armor
Creuse (kizunga)	Creuse
Dordogne (kizunga)	Dordogne
Doubs (kizunga)	Doubs
Drôme (kizunga)	Drôme
Essonne (kizunga)	Essonne
Eure (kizunga)	Eure
Eure-et-Loir	Eure-et-Loir
Finistère	Finistère
Nilo	Nilen
Nzâdi Kôngo	Kongo (elv)
Adis Abeba	Addis Abeba
Ndjamena	N'Djamena
Bamako	Bamako
Guyane	Fransk Guyana
Chillán	Chillán
Abuja	Abuja
Tübingen	Tübingen
Libreville	Libreville
Kinsasa	Kinshasa
Balazavile	Brazzaville
Dodoma	Dodoma
Lwanda	Luanda
Windhoek	Windhoek
Mubu	Elv
Osasko	Osasco
Kuritiba	Curitiba
Afelika ya Lumonso	Vest-Afrika
Georgia (country)	Georgia (andre betydninger)
Kiyesu	Kristendom
Kontina	Kontinent
Mbanza ya kimfumu	Hovedstad
Monzón	Monzón
Kimputulukesi	Portugisisk
Ngonda (manaka)	Måned
Almazán	Almazán
Mukânda ya ngudi	Portal:Forside
Saratov	Saratov
Troyes	Troyes
Kalasi:Candidates for speedy deletion	Kategori:Sider som er foreslått raskt slettet
Montpellier	Montpellier
Carcassonne	Carcassonne
Poitiers	Poitiers
Agen	Agen
Kimvuka ya Afelika	Den afrikanske union
Dimokalasi	Demokrati
Bayuda	Jøder
Nyama ya mabele	Pattedyr
Nzau	Elefanter
Kiswahili	Swahili
Kitsunkwo	Kinesisk
Kalasi:Falanse	Kategori:Frankrike
Kalasi:Musique	Kategori:Musikk
Bumpika	Slaveri
Shanghai (kizunga)	Shanghai
Málaga	Málaga
Lukwikilu	Religion
Kibang'la	Bengali
Ronald Reagan	Ronald Reagan
Kizulu	Zulu (språk)
Sasa	Zazaisk
Kutanga	Aritmetikk
Dikâlu (velo)	Sykkel
Chongqing (kizunga)	Chongqing
Tianjin (kizunga)	Tianjin
Yinsi	Liste over stater
Mukaba ya ntangu	Tidssone
Sida	Aids
Gard	Gard (departement)
Gers (kizunga)	Gers
Gironde (kizunga)	Gironde
Haute-Garonne	Haute-Garonne
Hauts-de-Seine	Hauts-de-Seine
Hérault (kizunga)	Hérault
Ille-et-Vilaine	Ille-et-Vilaine
Indre (kizunga)	Indre
Indre-et-Loire	Indre-et-Loire
Isère (kizunga)	Isère
Landes (kizunga)	Landes
Loir-et-Cher	Loir-et-Cher
Loire (kizunga)	Loire (departement)
Haute-Loire	Haute-Loire
Loiret (kizunga)	Loiret
Lot (kizunga)	Lot (departement)
Lot-et-Garonne	Lot-et-Garonne
Lozère (kizunga)	Lozère
Maine-et-Loire	Maine-et-Loire
Manche (kizunga)	Manche
Marne (kizunga)	Marne
Haute-Marne	Haute-Marne
Mayenne (kizunga)	Mayenne
Meurthe-et-Moselle	Meurthe-et-Moselle
Meuse (kizunga)	Meuse (departement)
Morbihan	Morbihan
Moselle (kizunga)	Moselle (departement)
Nièvre (kizunga)	Nièvre
Nord (kizunga)	Nord (Frankrike)
Oise (kizunga)	Oise (departement)
Orne (kizunga)	Orne
Pas-de-Calais	Pas-de-Calais
Puy-de-Dôme	Puy-de-Dôme
Hautes-Pyrénées	Hautes-Pyrénées
Pyrénées-Atlantiques	Pyrénées-Atlantiques
Pyrénées-Orientales	Pyrénées-Orientales
Bas-Rhin	Bas-Rhin
Haut-Rhin	Haut-Rhin
Haute-Saône	Haute-Saône
Saône-et-Loire	Saône-et-Loire
Sarthe (kizunga)	Sarthe
Savoie (kizunga)	Savoie (departement)
Haute-Savoie	Haute-Savoie
Seine-et-Marne	Seine-et-Marne
Seine-Maritime	Seine-Maritime
Seine-Saint-Denis	Seine-Saint-Denis
Deux-Sèvres	Deux-Sèvres
Somme (kizunga)	Somme
Tarn (kizunga)	Tarn
Tarn-et-Garonne	Tarn-et-Garonne
Territoire de Belfort	Territoire de Belfort
Val-d'Oise	Val-d'Oise
Val-de-Marne	Val-de-Marne
Var (kizunga)	Var (departement)
Vaucluse (kizunga)	Vaucluse
Vendée (kizunga)	Vendée
Vienne (kizunga)	Vienne
Haute-Vienne	Haute-Vienne
Yonne (kizunga)	Yonne (departement)
Yvelines	Yvelines
Nerja	Nerja
Ronda	Ronda
Kixhosa	Xhosa (språk)
Kilabu	Arabisk
Kapoti	Kondom
Kiunsita	Oksitansk
Guangdong	Guangdong
Guangxi Zhuang	Guangxi
Jiangsu	Jiangsu
Zhejiang	Zhejiang
Guadeloupe	Guadeloupe
Madinina	Martinique
Mayota	Mayotte
La Réunion	Réunion
Xizang	Den autonome region Tibet
Heilongjiang	Heilongjiang
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Motorhead	Motörhead
Mbuluku	Afrikansk villesel
Sichuan	Sichuan
Juan Carlos I	Juan Carlos I av Spania
Vung Tau	Vung Tau
API	Det internasjonale fonetiske alfabetet
Hebei	Hebei
Kibaha	Bahá'í
Irlande	Irland (øy)
Mposo	Ukedager
Lordi	Lordi
Marseille	Marseille
Moshchena	Mosjtsjena
Entrena	Entrena
Podgorica	Podgorica
Ntu	Hode
Muyimbu ya nsi	Nasjonalsang
Nzila ya busula	Himmelretning
Rammstein	Rammstein
Ca Mau	Ca Mau
Da Lat	Dalat
Da Nang	Da Nang
Racibórz	Racibórz
Phan Thiet	Phan Thiet
Université Niccolò Cusano	Università degli Studi Niccolò Cusano
Afelika ya Node	Nord-Afrika
Afelika ya Sudi	Sørlige Afrika
Afelika ya Lunene	Øst-Afrika
