អាហ្វ្រិក	Afrika
ជប៉ុន	Japan
អង់គ្លេស	England
ស្កុតឡែន	Skottland
វ៉ែល	Wales
អៀរឡង់ខាងជើង	Nord-Irland
សាធារណរដ្ឋអៀរឡង់	Irland
ប្រទេសហុងគ្រី	Ungarn
អេស្ប៉ាញ	Spania
សហរដ្ឋអាមេរិក	USA
ផែនដី	Jorden
ប៊ឺណឺស លី	Tim Berners-Lee
ស៊ុយអែត	Sverige
ប្រទេសប៉ូឡូញ	Polen
អ៊ីតាលី	Italia
ព័រទុយហ្គាល់	Portugal
អឺរ៉ុប	Europa
អាស៊ី	Asia
វិគីភីឌា	Wikipedia
ភីអេចភី	PHP
ទីក្រុងញូវយ៉ក	New York
កុំព្យូទ័រ	Datamaskin
អ៊ីនធើណេត	Internett
បារ៉ាក់ អូបាម៉ា	Barack Obama
ប៉ារីស	Paris
អាប្រាហាម លីនខូន	Abraham Lincoln
ប្រព័ន្ធប្រតិបត្តការ Android	Android
Google ស្វែងរក	Google
ម៉ិកស៊ិក	Mexico
មហាសមុទ្រអាត្លង់ទិក	Atlanterhavet
មហាសមុទ្រប៉ាស៊ីហ្វិក	Stillehavet
ថ្ងៃច័ន្ទ	Mandag
ខែមករា	Januar
ខែកុម្ភៈ	Februar
ខែមីនា	Mars (måned)
ភពអង្គារ	Mars (planet)
ខែមេសា	April
ខែឧសភា	Mai
ខែមិថុនា	Juni
ខែកក្កដា	Juli
ខែសីហា	August
ខែកញ្ញា	September
ខែតុលា	Oktober
ខែវិច្ឆិកា	November
ខែធ្នូ	Desember
អង្គារ	Tirsdag
ថ្ងៃពុធ	Onsdag
ថ្ងៃព្រហស្បតិ៍	Torsdag
ថ្ងៃសុក្រ	Fredag
ថ្ងៃសៅរ៍	Lørdag
ថ្ងៃអាទិត្យ	Søndag
សេះ (​អុក​)	Springer (sjakk)
បារាំង	Frankrike
សត្វឆ្កែ	Tamhund
រាជាណាចក្ររួម	Storbritannia
ឆ្មា	Tamkatt
ភាសាបារាំង	Fransk
ប្រេស៊ីល	Brasil
រុស្ស៊ី	Russland
ការ៉េ	Kvadrat
សមុទ្រ	Hav
អាល្លឺម៉ង់	Tyskland
ភាសាអាល្លឺម៉ង់	Tysk
ប្រទេសអាយឡែន	Island
ភពសៅរ៍	Saturn
១ (លេខ)	1 (tall)
២ (លេខ)	2 (tall)
៣ (លេខ)	3 (tall)
៥	5 (tall)
ចតុកោណកែង	Rektangel
មុំកែង	Rettvinklet
អ៊ុយក្រែន	Ukraina
ទីក្រុងរ៉ូម	Roma
អាល់បានី	Albania
អាស៊ែបៃហ្សង់	Aserbajdsjan
អង់ដូរ៉ា	Andorra
សាធារណរដ្ឋកាហ្សាក់ស្ថាន	Kasakhstan
បុរីវ៉ាទីកង់	Vatikanstaten
គុយបា	Cuba
ឥណ្ឌូនេស៊ី	Indonesia
អាហ្វ្រិកខាងត្បូង	Sør-Afrika
ប្រវត្តិសង្ខេប ក្រុមតន្រ្តី រ៉ុក linkin park	Linkin Park
ប្រទេសអាល់ហ្សេរី	Algerie
ស្រា	Vin
ទឹក	Vann
ទូរទស្សន៏	Fjernsyn
ភាសាអាយឡែន	Islandsk
ឈីលី	Chile
ព្រះយេស៊ូវ គ្រីស្ទ	Jesus Kristus
ភពពុធ	Merkur
ប្រវត្តិសាស្ត្រ	Historie
ភពសុក្រ	Venus
ភាសា	Språk
ភពព្រហស្បតិ៍	Jupiter
ភពអ៊ុយរ៉ានុស	Uranus
វិគីភីឌាភាសាអង់គ្លេស	Wikipedia på engelsk
ភពណិបទូន	Neptun (planet)
សិង្ហបុរី	Singapore
ភ្លុយតុង	Pluto
ហ្វេសប៊ុក	Facebook
សង្គ្រាមលោកលើកទីមួយ	Første verdenskrig
សង្គ្រាមលោកលើកទី២	Andre verdenskrig
ទំព័រគំរូ:Corruption	Korrupsjon
Ubuntu	Ubuntu (operativsystem)
គណិតវិទ្យា	Matematikk
បារ៉ែន	Bahrain
ព្រះចន្ទ	Månen
អូស្ត្រាលី	Australia
រូបវិទ្យា	Fysikk
ជីវវិទ្យា	Biologi
កូរ៉េខាងជើង	Nord-Korea
ព្រះរាជាណាចក្រកម្ពុជា	Kambodsja
ឌីណូស័រ	Dinosaurer
សាសនាឥស្លាម	Islam
សេរីភាព	Fred
សហភាពអឺរ៉ុប	Den europeiske union
ចេក	Bananer
ណាប៉ូលេអុងបូណាប៉ារត៍	Napoléon Bonaparte
ព្រះអាទិត្យ	Solen
ឆ្នាំពន្លឺ	Lysår
អូសេអានី	Oseania
ប្រព័ន្ធព្រះអាទិត្យ	Solsystemet
អុីដ្រូសែន	Hydrogen
ទីម័រខាងកើត	Øst-Timor
ម៉ុង ប្លុង	Mont Blanc
សឺរេស	Ceres (dvergplanet)
អៀរីស	Eris (dvergplanet)
ភព	Planet
តន្ត្រី	Musikk
ភាសាអ៊ីតាលី	Italiensk
អាលុយមីញ៉ូម	Aluminium
នូវែលសេឡង់	New Zealand
ឥណ្ឌា	India
អង់ដ្រេ ម៉ារី អំពែរ	André-Marie Ampère
វីលីម ហ្សេកស្ពែរ	William Shakespeare
ប៉ាឡាវ	Palau
ម៉ុងហ្គោលី	Mongolia
ជេនហ្គិស ខាន់	Djengis Khan
កូឡុំប៊ី	Colombia
ព្រះពុទ្ធសាសនា	Buddhisme
ហ្គាតេម៉ាឡា	Guatemala
មហាសមុទ្រអាកទិក	Nordishavet
អ៊ីរ៉ង់	Iran
ភាសាប៉ូឡូញ	Polsk
ហ្សកដង់	Jordan
កៀហ៊្សីស៊ីស្ថាន	Kirgisistan
គុយវ៉ែត	Kuwait
ឡាវ	Laos
លីបង់	Libanon
ទ្វីបអាមេរិក	Amerika
ម៉ាឡេស៊ី	Malaysia
មីយ៉ាន់ម៉ា	Myanmar
នេប៉ាល់	Nepal
ប៉ាគីស្ថាន	Pakistan
MySQL	MySQL
អារ៉ាប៊ីសាអូឌីត	Saudi-Arabia
ស្រីលង្កា	Sri Lanka
ផ្លាតូ	Platon
តាជីគីស្ថាន	Tadsjikistan
YouTube	YouTube
អារីស្តូត	Aristoteles
ថៃ	Thailand
វិទ្យុ	Radio
តួរមិនីស្ថាន	Turkmenistan
វៀតណាម	Vietnam
កូរ៉េខាងត្បូង	Sør-Korea
