Āfrika	Afrika
Japāna	Japan
Dienvidamerika	Sør-Amerika
Norvēģija	Norge
Anglija	England
Skotija	Skottland
Velsa	Wales
Ziemeļīrija	Nord-Irland
Īrija	Irland
Ungārija	Ungarn
Spānija	Spania
Amerikas Savienotās Valstis	USA
Beļģija	Belgia
Luksemburga	Luxembourg
Visums	Universet
Zeme	Jorden
Dzīvība	Liv
Nāve	Død
Cilvēks	Menneske
Laime	Lykke
Džordžs Vašingtons	George Washington
Duglass Adamss	Douglas Adams
Tims Bērnerss-Lī	Tim Berners-Lee
Imagine (dziesma)	Imagine (sang)
Stenlijs Kubriks	Stanley Kubrick
Vikidati	Wikidata
Somija	Finland
Zviedrija	Sverige
Dānija	Danmark
Polija	Polen
Lietuva	Litauen
Itālija	Italia
Šveice	Sveits
Austrija	Østerrike
Grieķija	Hellas
Turcija	Tyrkia
Alus	Øl
Portugāle	Portugal
Eiropa	Europa
Āzija	Asia
Ziemeļamerika	Nord-Amerika
Antarktīda	Antarktika
Vikipēdija	Wikipedia
All your base are belong to us	All your base are belong to us
Nīderlande	Nederland
Dzimumloceklis	Penis
PHP	PHP
Ņujorka	New York
Vašingtona	Washington, D.C.
Sanfrancisko	San Francisco
Berlīne	Berlin
Losandželosa	Los Angeles
Boeing	Boeing
Airbus	Airbus
Dators	Datamaskin
Berne	Bern
Ženēva	Genève
Cīrihe	Zürich
IRC	IRC
Internets	Internett
Baraks Obama	Barack Obama
Urugvaja	Uruguay
Bāzele	Basel
Printeris	Skriver
MediaWiki	MediaWiki
Londona	London
Kaira	Kairo
Galvassāpes	Hodepine
Aleksandrija	Alexandria
Aleksandrija (Virdžīnija)	Alexandria (Virginia)
Ābols	Epleslekten
Parīze	Paris
Abrahams Linkolns	Abraham Lincoln
Android	Android
Google	Google
Meksika	Mexico
Atlantijas okeāns	Atlanterhavet
Klusais okeāns	Stillehavet
Kalifornija	California
Bostona	Boston
Pirmdiena	Mandag
Telpa	Rom (fysikk)
Janvāris	Januar
Februāris	Februar
Marts	Mars (måned)
Marss (planēta)	Mars (planet)
Marss (mitoloģija)	Mars (gud)
Kenija	Kenya
Etiopija	Etiopia
Monarhs	Monark
Gana	Ghana
Aprīlis	April
Maijs	Mai
Jūnijs	Juni
Jūlijs	Juli
Augusts	August
Septembris	September
Oktobris	Oktober
Novembris	November
Decembris	Desember
Otrdiena	Tirsdag
Trešdiena	Onsdag
Ceturtdiena	Torsdag
Piektdiena	Fredag
Sestdiena	Lørdag
Svētdiena	Søndag
Laidnis	Løper (sjakk)
Bandinieks (šahs)	Bonde (sjakk)
Zirdziņš (šahs)	Springer (sjakk)
Tornis (šahs)	Tårn (sjakk)
Karalis (šahs)	Konge (sjakk)
Dāma (šahs)	Dronning (sjakk)
Lauva	Løve
Francija	Frankrike
Esperanto	Esperanto
Suns	Tamhund
Apvienotā Karaliste	Storbritannia
Kaķis	Tamkatt
Ķīna	Folkerepublikken Kina
Franču valoda	Fransk
Vikivārdnīca	Wiktionary
Zivis	Fisk
Etanols	Etanol
Alkoholiskie dzērieni	Alkoholholdig drikke
Brazīlija	Brasil
Spirti	Alkoholer
Fransuā Olands	François Hollande
Krievija	Russland
Vaļveidīgie	Hvaler
Optiskā šķiedra	Fiberoptikk
Jorkšīra	Yorkshire
Kvadrāts	Kvadrat
Jūra	Hav
Melnā jūra	Svartehavet
Pī	Pi
Pī (burts)	Pi (bokstav)
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sanpaulu	São Paulo
Sanpaulu (štats)	São Paulo (delstat)
Kvebeka	Québec
Pica	Pizza
Pasta (ēdiens)	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Džimijs Veilss	Jimmy Wales
Vācija	Tyskland
Baltkrievija	Hviterussland
Lerijs Sendžers	Larry Sanger
Itālijas himna	Fratelli d'Italia
Vācu valoda	Tysk
Islande	Island
Dievs	Gud
Igaunija	Estland
Deivids Kemerons	David Cameron
Saturns (planēta)	Saturn
Saturna gredzeni	Saturns ringer
Šokolāde	Sjokolade
Lidmašīna	Fly
Karš	Krig
1 (skaitlis)	1 (tall)
2 (skaitlis)	2 (tall)
3 (skaitlis)	3 (tall)
4 (skaitlis)	4 (tall)
5 (skaitlis)	5 (tall)
Nulle	Null
Bezgalība	Uendelig
Stīvens Hārpers	Stephen Harper
Džordžs V. Bušs	George W. Bush
Taisnstūris	Rektangel
Latvija	Latvia
Ukraina	Ukraina
Čehija	Tsjekkia
Slovākija	Slovakia
Slovēnija	Slovenia
Viļņa	Vilnius
Moldova	Moldova
Rumānija	Romania
Bulgārija	Bulgaria
Roma	Roma
Maķedonija	Republikken Makedonia
Albānija	Albania
Grenlande	Grønland
Horvātija	Kroatia
Bosnija un Hercegovina	Bosnia-Hercegovina
Nūka	Nuuk
Azerbaidžāna	Aserbajdsjan
Andora	Andorra
Kipra	Republikken Kypros
Gruzija	Georgia
Valonija	Vallonia
Kazahstāna	Kasakhstan
Malta	Malta
Flandrija	Flandern
Monako	Monaco
Melnkalne	Montenegro
Vatikāns	Vatikanstaten
Sanmarīno	San Marino
Briseles galvaspilsētas reģions	Brussel
Kuba	Cuba
Beliza	Belize
Eifeļa tornis	Eiffeltårnet
Barbadosa	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Datora klaviatūra	Tastatur
Java (programmēšanas valoda)	Java (programmeringsspråk)
Indonēzija	Indonesia
Volfgangs Amadejs Mocarts	Wolfgang Amadeus Mozart
Ludvigs van Bēthovens	Ludwig van Beethoven
Turku valoda	Tyrkisk
Mandelbrota kopa	Mandelbrotmengden
Dienvidāfrika	Sør-Afrika
Žans Fransuā Šampolions	Jean-François Champollion
Linkin Park	Linkin Park
Alžīrija	Algerie
Wikisource	Wikikilden
Viesuļvētra Sendija	Orkanen Sandy
Uzbekistāna	Usbekistan
Rasenes	Soldoggslekta
Poznaņa	Poznań
Taškenta	Tasjkent
Varšava	Warszawa
Eirovīzijas dziesmu konkurss	Eurovision Song Contest
Modēna	Modena
Viskijs	Whisky
Vīns	Vin
Ūdens	Vann
Āda (materiāls)	Lær
Koksne	Treverk
Tūra	Tours
Televīzija	Fjernsyn
Dzimums	Kjønn
Pornogrāfija	Pornografi
Islandiešu valoda	Islandsk
Klods Monē	Claude Monet
Djego Velaskess	Diego Velázquez
Čīle	Chile
El Greko	El Greco
Jēzus Kristus	Jesus Kristus
Elviss Preslijs	Elvis Presley
Sebastjans Piņera	Sebastián Piñera
Galileo Galilejs	Galileo Galilei
Merkurs (planēta)	Merkur
Vēsture	Historie
Perlašēza kapsēta	Père Lachaise
Apple Inc.	Apple
Venera (planēta)	Venus
Valoda	Språk
