Африк	Afrika
Япон	Japan
Өмнөд Америк	Sør-Amerika
Норвеги	Norge
Англи	England
Шотланд	Skottland
Уэльс	Wales
Умард Ирланд	Nord-Irland
Ирланд	Irland
Унгар	Ungarn
Испани	Spania
Америкийн Нэгдсэн Улс	USA
Бельги	Belgia
Люксембург	Luxembourg
Орчлон	Universet
Дэлхий	Jorden
Амьдрал	Liv
Үхэл	Død
Хүн	Menneske
Жорж Вашингтон	George Washington
Тим Бернерс-Ли	Tim Berners-Lee
Стэнли Кубрик	Stanley Kubrick
Финланд	Finland
Швед	Sverige
Дани	Danmark
Польш	Polen
Литва	Litauen
Итали	Italia
Швейцари	Sveits
Австри	Østerrike
Грек	Hellas
Турк	Tyrkia
Шар айраг	Øl
Португал улс	Portugal
Европ	Europa
Ази	Asia
Хойд Америк	Nord-Amerika
Антарктид	Antarktika
Википедиа	Wikipedia
Нидерланд	Nederland
PHP	PHP
Нью-Йорк хот	New York
Вашингтон хот	Washington, D.C.
Сан-Франциско	San Francisco
Берлин	Berlin
Лос-Анжелес	Los Angeles
Боинг	Boeing
Компьютер	Datamaskin
Берн	Bern
Женев	Genève
Цюрих хот	Zürich
Интернэт	Internett
Барак Обама	Barack Obama
Уругвай	Uruguay
Базель хот	Basel
Хэвлүүр	Skriver
Лондон	London
Каир	Kairo
Александрия	Alexandria
Алим	Epleslekten
Парис	Paris
Абрахам Линкольн	Abraham Lincoln
Андройд (үйлдлийн систем)	Android
Google	Google
Мексик	Mexico
Атлантын далай	Atlanterhavet
Номхон далай	Stillehavet
Калифорни	California
Даваа гараг	Mandag
Огторгуй	Rom (fysikk)
1 сар	Januar
2 сар	Februar
Ангараг	Mars (planet)
Кени	Kenya
Этиоп	Etiopia
Ван	Monark
Гана	Ghana
Мягмар гараг	Tirsdag
Лхагва гараг	Onsdag
Баасан гараг	Fredag
Бямба гараг	Lørdag
Ням гараг	Søndag
Тэмээ (шатар)	Løper (sjakk)
Хүү (шатар)	Bonde (sjakk)
Морь (шатар)	Springer (sjakk)
Тэрэг (шатар)	Tårn (sjakk)
Ноён (шатар)	Konge (sjakk)
Бэрс	Dronning (sjakk)
Арслан	Løve
Франц	Frankrike
Эсперанто	Esperanto
Нохой	Tamhund
Их Британи	Storbritannia
Муур	Tamkatt
Бүгд Найрамдах Хятад Ард Улс	Folkerepublikken Kina
Франц хэл	Fransk
Этанол	Etanol
Бразил	Brasil
Оросын Холбооны Улс	Russland
Халим	Hvaler
Квадрат	Kvadrat
Тэнгис	Hav
Хар тэнгис	Svartehavet
Пи	Pi
Вики	Wiki
Торонто	Toronto
Алабама	Alabama
Сан-Паулу	São Paulo
Сан-Паулу муж	São Paulo (delstat)
Кэбэк	Québec
Пицца	Pizza
Жимми Уэйлс	Jimmy Wales
Герман	Tyskland
Беларусь	Hviterussland
Герман хэл	Tysk
Исланд	Island
Бурхан	Gud
Эстон	Estland
Дэвид Кэмерон	David Cameron
Санчир	Saturn
Шоколад	Sjokolade
Нисэх онгоц	Fly
Дайн	Krig
2 (тоо)	2 (tall)
3 (тоо)	3 (tall)
Хязгааргүй	Uendelig
Стивен Харпер	Stephen Harper
Жорж Уокер Буш	George W. Bush
Латви	Latvia
Украин	Ukraina
Чех	Tsjekkia
Словак	Slovakia
Словен	Slovenia
Молдав	Moldova
Румын	Romania
Болгар улс	Bulgaria
Ром	Roma
Бүгд Найрамдах Македон Улс	Republikken Makedonia
Албани	Albania
Гренланд	Grønland
Хорват	Kroatia
Босни ба Херцеговина	Bosnia-Hercegovina
Нуук	Nuuk
Азербайжан	Aserbajdsjan
Андорра	Andorra
Кипр	Republikken Kypros
Гүрж	Georgia
Казахстан	Kasakhstan
Мальт	Malta
Монако	Monaco
Ватикан	Vatikanstaten
Сан-Марино	San Marino
Брюссель	Brussel
Куба	Cuba
Белиз	Belize
Эйфелийн цамхаг	Eiffeltårnet
Барбадос	Barbados
Intel	Intel
Компьютерийн гар	Tastatur
Java	Java (programmeringsspråk)
Индонез	Indonesia
QWERTY	QWERTY
Вольфганг Амадей Моцарт	Wolfgang Amadeus Mozart
Людвиг ван Бетховен	Ludwig van Beethoven
Түрк хэл бичиг	Tyrkisk
