ਅਫ਼ਰੀਕਾ	Afrika
ਜਪਾਨ	Japan
ਦੱਖਣੀ ਅਮਰੀਕਾ	Sør-Amerika
ਨਾਰਵੇ	Norge
ਇੰਗਲੈਂਡ	England
ਸਕਾਟਲੈਂਡ	Skottland
ਵੇਲਜ਼	Wales
ਉੱਤਰੀ ਆਇਰਲੈਂਡ	Nord-Irland
ਆਇਰਲੈਂਡ ਗਣਰਾਜ	Irland
ਹੰਗਰੀ	Ungarn
ਸਪੇਨ	Spania
ਸੰਯੁਕਤ ਰਾਜ ਅਮਰੀਕਾ	USA
ਬੈਲਜੀਅਮ	Belgia
ਲਕਸਮਬਰਗ	Luxembourg
ਧਰਤੀ	Jorden
ਜੀਵਨ	Liv
ਮੌਤ	Død
ਮਨੁੱਖ	Menneske
ਖ਼ੁਸ਼ੀ	Lykke
ਜਾਰਜ ਵਾਸ਼ਿੰਗਟਨ	George Washington
ਇਮੈਜਿਨ (ਗੀਤ)	Imagine (sang)
ਫ਼ਿਨਲੈਂਡ	Finland
ਸਵੀਡਨ	Sverige
ਡੈੱਨਮਾਰਕ	Danmark
ਪੋਲੈਂਡ	Polen
ਲਿਥੁਆਨੀਆ	Litauen
ਇਟਲੀ	Italia
ਸਵਿਟਜ਼ਰਲੈਂਡ	Sveits
ਆਸਟਰੀਆ	Østerrike
ਯੂਨਾਨ	Hellas
ਤੁਰਕੀ	Tyrkia
ਪੁਰਤਗਾਲ	Portugal
ਯੂਰਪ	Europa
ਏਸ਼ੀਆ	Asia
ਉੱਤਰੀ ਅਮਰੀਕਾ	Nord-Amerika
ਅੰਟਾਰਕਟਿਕਾ	Antarktika
ਵਿਕੀਪੀਡੀਆ	Wikipedia
ਨੀਦਰਲੈਂਡ	Nederland
ਸ਼ਿਸ਼ਨ	Penis
ਨਿਊਯਾਰਕ ਸ਼ਹਿਰ	New York
ਵਾਸ਼ਿੰਗਟਨ, ਡੀ.ਸੀ.	Washington, D.C.
ਸਾਨ ਫ਼ਰਾਂਸਿਸਕੋ	San Francisco
ਬਰਲਿਨ	Berlin
ਲਾਸ ਐਂਜਲਸ	Los Angeles
ਕੰਪਿਊਟਰ	Datamaskin
ਬਰਨ	Bern
ਜਨੇਵਾ	Genève
ਜ਼ਿਊਰਿਖ	Zürich
ਇੰਟਰਨੈੱਟ	Internett
ਬਰਾਕ ਓਬਾਮਾ	Barack Obama
ਉਰੂਗੁਏ	Uruguay
ਲੰਡਨ	London
ਕਾਹਿਰਾ	Kairo
ਸਿਰਦਰਦ	Hodepine
ਸਿਕੰਦਰੀਆ	Alexandria
ਸੇਬ	Epleslekten
ਪੈਰਿਸ	Paris
ਅਬਰਾਹਮ ਲਿੰਕਨ	Abraham Lincoln
ਐਂਡ੍ਰਾਇਡ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Android
ਗੂਗਲ	Google
ਮੈਕਸੀਕੋ	Mexico
ਅੰਧ ਮਹਾਂਸਾਗਰ	Atlanterhavet
ਪ੍ਰਸ਼ਾਂਤ ਮਹਾਂਸਾਗਰ	Stillehavet
ਕੈਲੀਫ਼ੋਰਨੀਆ	California
ਬੌਸਟਨ	Boston
ਸੋਮਵਾਰ	Mandag
ਵਿਸਥਾਰ	Rom (fysikk)
ਜਨਵਰੀ	Januar
ਫ਼ਰਵਰੀ	Februar
ਮਾਰਚ	Mars (måned)
ਮੰਗਲ (ਗ੍ਰਹਿ)	Mars (planet)
ਮਾਰਸ	Mars (gud)
ਕੀਨੀਆ	Kenya
ਇਥੋਪੀਆ	Etiopia
ਰਾਜਾ	Monark
ਘਾਨਾ	Ghana
ਅਪ੍ਰੈਲ	April
ਮਈ	Mai
ਜੂਨ	Juni
ਜੁਲਾਈ	Juli
ਅਗਸਤ	August
ਸਤੰਬਰ	September
ਅਕਤੂਬਰ	Oktober
ਨਵੰਬਰ	November
ਦਸੰਬਰ	Desember
ਮੰਗਲਵਾਰ	Tirsdag
ਬੁੱਧਵਾਰ	Onsdag
ਵੀਰਵਾਰ	Torsdag
ਸ਼ੁੱਕਰਵਾਰ	Fredag
ਸ਼ਨਿੱਚਰਵਾਰ	Lørdag
ਐਤਵਾਰ	Søndag
ਫ਼ਰਾਂਸ	Frankrike
ਏਸਪੇਰਾਂਤੋ	Esperanto
ਕੁੱਤਾ	Tamhund
ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	Storbritannia
ਬਿੱਲੀ	Tamkatt
ਚੀਨ ਲੋਕ ਗਣਰਾਜ	Folkerepublikken Kina
ਫ਼ਰਾਂਸੀਸੀ ਭਾਸ਼ਾ	Fransk
ਵਿਕਸ਼ਨਰੀ	Wiktionary
ਮੱਛੀ	Fisk
ਈਥੇਨੋਲ	Etanol
ਬ੍ਰਾਜ਼ੀਲ	Brasil
ਅਲਕੋਹਲ	Alkoholer
ਫਰਾਂਸੋਆ ਔਲਾਂਦ	François Hollande
ਰੂਸ	Russland
ਪ੍ਰਕਾਸ਼ੀ ਤੰਦ	Fiberoptikk
ਸਮੁੰਦਰ	Hav
ਕਾਲ਼ਾ ਸਮੁੰਦਰ	Svartehavet
ਪਾਈ	Pi
ਪਾਈ (ਅੱਖਰ)	Pi (bokstav)
ਟੋਰਾਂਟੋ	Toronto
ਅਲਾਬਾਮਾ	Alabama
ਸਾਓ ਪਾਉਲੋ	São Paulo
ਕੇਬੈਕ	Québec
ਪੀਜ਼ਾ	Pizza
ਵਿਕੀਮੀਡੀਆ ਫ਼ਾਊਂਡੇਸ਼ਨ	Wikimedia Foundation
ਜਿੰਮੀ ਵੇਲਸ	Jimmy Wales
