Africa	Afrika
Japonia	Japan
America de Sud	Sør-Amerika
Norvegia	Norge
Anglia	England
Scoția	Skottland
Țara Galilor	Wales
Irlanda de Nord	Nord-Irland
Irlanda	Irland
Ungaria	Ungarn
Spania	Spania
Statele Unite ale Americii	USA
Belgia	Belgia
Luxemburg	Luxembourg
Univers	Universet
Pământ	Jorden
Viață	Liv
Moarte	Død
Om	Menneske
Fericire	Lykke
Triskaidekafobie	Triskaidekafobi
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Numărul fiarei	Dyrets tall
Stanley Kubrick	Stanley Kubrick
Calendarul mayaș	Mayakalender
Wikidata	Wikidata
Finlanda	Finland
Suedia	Sverige
Danemarca	Danmark
Polonia	Polen
Lituania	Litauen
Italia	Italia
Elveția	Sveits
Austria	Østerrike
Grecia	Hellas
Turcia	Tyrkia
Bere	Øl
Portugalia	Portugal
Europa	Europa
Asia	Asia
America de Nord	Nord-Amerika
Antarctida	Antarktika
Wikipedia	Wikipedia
Țările de Jos	Nederland
Penis	Penis
PHP	PHP
New York (oraș)	New York
Washington, D.C.	Washington, D.C.
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Calculator	Datamaskin
Berna	Bern
Geneva	Genève
Zürich	Zürich
IRC	IRC
Internet	Internett
Barack Obama	Barack Obama
Uruguay	Uruguay
Basel	Basel
Imprimantă	Skriver
MediaWiki	MediaWiki
Londra	London
Cairo	Kairo
Cefalee	Hodepine
Alexandria, Egipt	Alexandria
Alexandria, Virginia	Alexandria (Virginia)
Măr	Epleslekten
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android (sistem de operare)	Android
Google	Google
Mexic	Mexico
Oceanul Atlantic	Atlanterhavet
Oceanul Pacific	Stillehavet
California	California
Boston	Boston
Pneumonoultramicroscopicsilicovolcaniconioză	Pneumonoultramicroscopicsilicovolcanoconiosis
Supercalifragilisticexpialidocious	Supercalifragilisticexpialidocious
Luni	Mandag
Spațiu	Rom (fysikk)
Ianuarie	Januar
Februarie	Februar
Martie	Mars (måned)
Marte (planetă)	Mars (planet)
Marte (zeu)	Mars (gud)
Kenya	Kenya
Etiopia	Etiopia
Monarh	Monark
Ghana	Ghana
Aprilie	April
Mai	Mai
Iunie	Juni
Iulie	Juli
August	August
Septembrie	September
Octombrie	Oktober
Noiembrie	November
Decembrie	Desember
Marți	Tirsdag
Miercuri	Onsdag
Joi	Torsdag
Vineri	Fredag
Sâmbătă	Lørdag
Duminică	Søndag
Nebun (șah)	Løper (sjakk)
Pion (șah)	Bonde (sjakk)
Cal (șah)	Springer (sjakk)
Turn (șah)	Tårn (sjakk)
Rege (șah)	Konge (sjakk)
Regină (șah)	Dronning (sjakk)
Leu	Løve
Franța	Frankrike
Esperanto	Esperanto
Câine	Tamhund
Regatul Unit al Marii Britanii și al Irlandei de Nord	Storbritannia
Pisică de casă	Tamkatt
Republica Populară Chineză	Folkerepublikken Kina
Nyan Cat	Nyan Cat
Limba franceză	Fransk
Wikționar	Wiktionary
Pește	Fisk
Etanol	Etanol
Băutură alcoolică	Alkoholholdig drikke
Brazilia	Brasil
Alcool	Alkoholer
François Hollande	François Hollande
Rusia	Russland
Cetacee	Hvaler
Fibră	Fiber
Fibră optică	Fiberoptikk
Yorkshire	Yorkshire
Pătrat	Kvadrat
Mare	Hav
Marea Neagră	Svartehavet
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo (oraș)	São Paulo
São Paulo (stat)	São Paulo (delstat)
Provincia Québec	Québec
Pizza	Pizza
Paste făinoase	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Germania	Tyskland
Belarus	Hviterussland
Larry Sanger	Larry Sanger
Il Canto degli Italiani	Fratelli d'Italia
Limba germană	Tysk
Islanda	Island
Dumnezeu	Gud
Estonia	Estland
David Cameron	David Cameron
Saturn	Saturn
Inelele lui Saturn	Saturns ringer
Ciocolată	Sjokolade
Avion	Fly
Război	Krig
1 (cifră)	1 (tall)
2 (cifră)	2 (tall)
3 (cifră)	3 (tall)
4 (cifră)	4 (tall)
5 (cifră)	5 (tall)
0 (cifră)	Null
Infinit	Uendelig
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Dreptunghi	Rektangel
Unghi drept	Rettvinklet
Letonia	Latvia
Ucraina	Ukraina
Cehia	Tsjekkia
Slovacia	Slovakia
Slovenia	Slovenia
Vilnius	Vilnius
Republica Moldova	Moldova
România	Romania
Bulgaria	Bulgaria
Roma	Roma
Republica Macedonia	Republikken Makedonia
Albania	Albania
Groenlanda	Grønland
Croația	Kroatia
Bosnia și Herțegovina	Bosnia-Hercegovina
Nuuk	Nuuk
Azerbaidjan	Aserbajdsjan
Andorra	Andorra
Cipru	Republikken Kypros
Georgia	Georgia
Valonia	Vallonia
Kazahstan	Kasakhstan
Malta	Malta
Flandra	Flandern
Monaco	Monaco
Muntenegru	Montenegro
Vatican	Vatikanstaten
San Marino	San Marino
Regiunea Capitalei Bruxelles	Brussel
Cuba	Cuba
Belize	Belize
Turnul Eiffel	Eiffeltårnet
Barbados	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Tastatură	Tastatur
Java (limbaj de programare)	Java (programmeringsspråk)
Indonezia	Indonesia
