Africa	Afrika
Japan	Japan
South America	Sør-Amerika
Norway	Norge
Scotland	Skottland
Wales	Wales
Ireland	Irland
Hungary	Ungarn
Spain	Spania
United States of America	USA
Belgium	Belgia
Luxembourg	Luxembourg
Rudunhumwe	Universet
Rinopasi	Jorden
Finland	Finland
Sweden	Sverige
Denmark	Danmark
Poland	Polen
Lithuania	Litauen
Italy	Italia
Switzerland	Sveits
Austria	Østerrike
Greece	Hellas
Turkey	Tyrkia
Doro	Øl
Portugal	Portugal
Europe	Europa
Asia	Asia
North America	Nord-Amerika
Netherlands	Nederland
Mboro	Penis
Washington, DC	Washington, D.C.
Bern	Bern
Uruguay	Uruguay
London	London
Cairo	Kairo
Alexandria	Alexandria
Paris	Paris
Mexico	Mexico
Gungwa reAtlantic	Atlanterhavet
Gungwa rePacific	Stillehavet
Muvhuro	Mandag
Kenya	Kenya
Ethiopia	Etiopia
Ghana	Ghana
Gunyana	September
Chipiri	Tirsdag
Chitatu	Onsdag
China (Musi)	Torsdag
Chishanu (musi)	Fredag
Mugovera	Lørdag
Svondo (musi)	Søndag
Shumba	Løve
France	Frankrike
Imbwa	Tamhund
United Kingdom	Storbritannia
Katsi	Tamkatt
China (nyika)	Folkerepublikken Kina
Hove	Fisk
Brazil	Brasil
Russian Federation	Russland
Skweya	Kvadrat
Germany	Tyskland
Belarus	Hviterussland
Iceland	Island
Mwari	Gud
Estonia	Estland
Ndege	Fly
Hondo	Krig
Motsi	1 (tall)
Piri	2 (tall)
Tatu	3 (tall)
China	4 (tall)
Shanu	5 (tall)
Chipasina	Null
Ruramamakonyo	Rektangel
Rurama (pimanyika)	Rettvinklet
Latvia	Latvia
Ukraine	Ukraina
Czechia	Tsjekkia
Slovakia	Slovakia
Slovenia	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Romania	Romania
Bulgaria	Bulgaria
Rome	Roma
Macedonia	Republikken Makedonia
Albania	Albania
Croatia	Kroatia
Bosnia and Herzegovina	Bosnia-Hercegovina
Azerbaijan	Aserbajdsjan
Andorra	Andorra
Cyprus	Republikken Kypros
Georgia	Georgia
Kazakhstan	Kasakhstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatican City	Vatikanstaten
San Marino	San Marino
Brussels	Brussel
Cuba	Cuba
Belize	Belize
Barbados	Barbados
Indonesia	Indonesia
South Africa	Sør-Afrika
Algeria	Algerie
Uzbekistan	Usbekistan
Tashkent	Tasjkent
Warsaw	Warszawa
Mvura	Vann
Dehwe	Lær
Chile	Chile
Nhoroondo	Historie
Mutauro	Språk
Zvechadenga	Astronomi
Singapore	Singapore
Liechtenstein	Liechtenstein
Hondo yePasirose yeChiposhi	Første verdenskrig
Hondo yePasirose yeChipiri	Andre verdenskrig
Skopje	Skopje
Masvomhu	Matematikk
Bahrain	Bahrain
Armenia	Armenia
Serbia	Serbia
Mwedzi (mutumbi)	Månen
Australia	Australia
Fundoyetsimba	Fysikk
Argentina	Argentina
Peru	Peru
Ketaupenyu	Biologi
North Korea	Nord-Korea
Cambodia	Kambodsja
Ketamhuka	Zoologi
Islam	Islam
Ljubljana	Ljubljana
Rugare	Fred
Mukadzi	Kvinne
Sofia	Sofia
Nyemwerera	Smil
Milan	Milano
Dhodhi	Avføring
Mukosho	Anus
Ruva	Blomst
Guta	By
Nyenyedzi	Stjerne
Zuva	Solen
Dandira reMushana	Solsystemet
Bhuku	Bok
Musi	Dag
East Timor	Øst-Timor
Husiku	Natt
Gore	År
Mwaka wechizana	Århundre
Oslo	Oslo
Lisbon	Lisboa
Nyeredzi	Planet
Mimhanzi	Musikk
Moscow	Moskva
Chad	Tsjad
Maodzanyemba	Nord
New Zealand	New Zealand
Chamhembe	Sør
India	India
Tuvalu	Tuvalu
Tonga	Tonga
Madokero	Vest
Samoa	Samoa
Mabvazuva	Øst
Solomon Islands	Salomonøyene
Vanuatu	Vanuatu
Papua New Guinea	Papua Ny-Guinea
Palau	Palau
Nauru	Nauru
Federated States of Micronesia	Mikronesiaføderasjonen
Marshall Islands	Marshalløyene
Kiribati	Kiribati
Mongolia	Mongolia
Fiji	Fiji
Venezuela	Venezuela
Bhiza	Hest
Amsterdam	Amsterdam
Zvombo	Våpen
Mhuka	Dyr
Suriname	Surinam
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Colombia	Colombia
Bolivia	Bolivia
Trinidad and Tobago	Trinidad og Tobago
Madzinde	Planter
Saint Vincent and the Grenadines	Saint Vincent og Grenadinene
Zeng'e	Sink
Saint Lucia	Saint Lucia
Saint Kitts and Nevis	Saint Kitts og Nevis
Jamaica	Jamaica
Grenada	Grenada
Guatemala	Guatemala
The Bahamas	Bahamas
Huku	Tamhøns
Antigua and Barbuda	Antigua og Barbuda
Honduras	Honduras
Dominica	Dominica
Dominican Republic	Den dominikanske republikk
Nguruve	Gris
Haiti	Haiti
El Salvador	El Salvador
Iran	Iran
Iraq	Irak
Costa Rica	Costa Rica
Israel	Israel
Panama	Panama
Yemen	Jemen
Jordan	Jordan
Nicaragua	Nicaragua
Florida	Florida
Kyrgyzstan	Kirgisistan
Kuwait	Kuwait
Laos	Laos
Lebanon	Libanon
Maldives	Maldivene
America (dzose)	Amerika
Malaysia	Malaysia
Burma	Myanmar
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi Arabia	Saudi-Arabia
Sri Lanka	Sri Lanka
Syria	Syria
Tajikistan	Tadsjikistan
Taiwan	Republikken Kina
Thailand	Thailand
Chitima	Jernbanetog
Turkmenistan	Turkmenistan
United Arab Emirates	De forente arabiske emirater
Vietnam	Vietnam
South Korea	Sør-Korea
Afghanistan	Afghanistan
Muronga Suez Canal	Suezkanalen
Bangladesh	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhutan
Brunei	Brunei
Tanzania	Tanzania
Philippines	Filippinene
Central African Republic	Den sentralafrikanske republikk
Isaac Newton	Isaac Newton
Togo	Togo
Tunisia	Tunisia
Zambia (nyika)	Zambia
Zimbabwe	Zimbabwe
Beijing	Beijing
South Sudan	Sør-Sudan
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Komorene
Republic of the Congo	Republikken Kongo
Democratic Republic of the Congo	Den demokratiske republikken Kongo
Djibouti	Djibouti
Equatorial Guinea	Ekvatorial-Guinea
Eritrea	Eritrea
New Delhi	New Delhi
Tbilisi	Tbilisi
Mucheche	Spedbarn
Gabon	Gabon
Gambia	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Côte d'Ivoire	Elfenbenskysten
Cameroon	Kamerun
Cape Verde	Kapp Verde
Lesotho	Lesotho
Liberia	Liberia
Libya	Libya
Madagascar	Madagaskar
Malawi	Malawi
Mauritania	Mauritania
Mauritius	Mauritius
Morocco	Marokko
Mozambique	Mosambik
Namibia	Namibia
Niger	Niger
Nigeria	Nigeria
Uganda	Uganda
Rwanda	Rwanda
Sao Tome and Principe	São Tomé og Príncipe
