Aprika	Afrika
Siapan	Japan
Saut Amerika	Sør-Amerika
Nowe	Norge
Inglan	England
Skotlan	Skottland
Wels	Wales
Noten Aialan	Nord-Irland
Ripablik bilong Aialan	Irland
Hangari	Ungarn
Spen	Spania
Ol Yunaitet Stet	USA
Beljiam	Belgia
Giraun	Jorden
Pinlan	Finland
Suwidan	Sverige
Denmak	Danmark
Polan	Polen
Lituwenia	Litauen
Itali	Italia
Suwisalan	Sveits
Ostria	Østerrike
Gris	Hellas
Teki	Tyrkia
Posugol	Portugal
Yurop	Europa
Esia	Asia
Not Amerika	Nord-Amerika
Wikipedia	Wikipedia
Ol Nitelan	Nederland
Niu Yok Siti	New York
Wasington DC	Washington, D.C.
Berlin	Berlin
Berne	Bern
Intanet	Internett
Barack Obama	Barack Obama
Landen	London
Kairo	Kairo
Paris	Paris
Meksiko	Mexico
Solwara Atlantik	Atlanterhavet
Solwara Pasifik	Stillehavet
Mande	Mandag
Janueri	Januar
Februeri	Februar
Mas	Mars (måned)
Epril	April
Me	Mai
Jun	Juni
Julai	Juli
Ogas	August
Septemba	September
Oktoba	Oktober
Novemba	November
Disemba	Desember
Tunde	Tirsdag
Trinde	Onsdag
Fonde	Torsdag
Fraide	Fredag
Sarere	Lørdag
Sande	Søndag
Frens	Frankrike
Esperanto	Esperanto
Yunaitet Kingdom	Storbritannia
Ol Manmeri Ripablik bilong Saina	Folkerepublikken Kina
Tok Frens	Fransk
Wiktionary	Wiktionary
Rasia	Russland
San Paulu	São Paulo
Siamani	Tyskland
Belaras	Hviterussland
Tok Jeman	Tysk
Aislan	Island
God	Gud
Estonia	Estland
George Walker Bush	George W. Bush
Latvia	Latvia
Yukren	Ukraina
Sek Ripablik	Tsjekkia
Slovakia	Slovakia
Vilnius	Vilnius
Romenia	Romania
Balgeria	Bulgaria
Rom	Roma
Albenia	Albania
Greenland	Grønland
Krowesia	Kroatia
Azerbaijan	Aserbajdsjan
Andora	Andorra
Saipras	Republikken Kypros
San Marino	San Marino
Indonisia	Indonesia
Saut Aprika	Sør-Afrika
Woso	Warszawa
Tok Aislan	Islandsk
Jisas	Jesus Kristus
Histori	Historie
Tokples	Språk
Yurenes (planet)	Uranus
Nicolas Sarkozy	Nicolas Sarkozy
Estronomi	Astronomi
Ubuntu	Ubuntu (operativsystem)
Szczecin	Szczecin
Ol matematik	Matematikk
U2	U2
Tok Latin	Latin
Armenia	Armenia
Sebia	Serbia
Mun (i stap long heven)	Månen
Ostrelia	Australia
Save long laip	Biologi
Not Koria	Nord-Korea
Islam	Islam
Lyon	Lyon
Sofia	Sofia
Banana	Bananer
San	Solen
Osenia	Oseania
Wikimedia Commons	Wikimedia Commons
Buk	Bok
De	Dag
Yia	År
Oslo	Oslo
Katowice	Katowice
Planet	Planet
Lille	Lille
Mosko	Moskva
Tok Itali	Italiensk
Niu Silan	New Zealand
India	India
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Solomon Ailans	Salomonøyene
Vanuatu	Vanuatu
Papua Niugini	Papua Ny-Guinea
Nauru	Nauru
Ol Masol Ailan	Marshalløyene
Kiribas	Kiribati
Fiji	Fiji
Abus	Dyr
At	Kunst
Budisim	Buddhisme
Sayor	Planter
Irak	Irak
Israel	Israel
Panama	Panama
Yemen	Jemen
Tok Polan	Polsk
Amerika (Kontinen)	Amerika
Malaysia	Malaysia
Platon	Platon
Ripablik bilong Saina	Republikken Kina
Aristoteles	Aristoteles
Tailan	Thailand
Vietnam	Vietnam
Saut Koria	Sør-Korea
Socrates	Sokrates
Bhutan	Bhutan
Brunai	Brunei
Albert Einstein	Albert Einstein
Yelo (kala)	Gul
Beijing	Beijing
Gabon	Gabon
Gandi	Mahatma Gandhi
Lesoto	Lesotho
Naijiria	Nigeria
Senegal	Senegal
Sierra Leone	Sierra Leone
Julius Caesar	Julius Cæsar
Save long giraun	Geografi
Kala	Farge
Blu (kala)	Blå
Bill Clinton	Bill Clinton
Yerusalem	Jerusalem
Kolorado	Colorado
Chicago	Chicago
Tok Spen	Spansk
Mani	Penger
Uetersen	Uetersen
Augustus Caesar	Augustus
Trajan	Trajan
Tokyo	Tokyo
Bagdad	Bagdad
Stockholm	Stockholm
Dublin	Dublin
Reykjavik	Reykjavík
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Katolik	Katolisisme
Baibel	Bibelen
Ho Chi Minh City	Ho Chi Minh-byen
Tokples Inglis	Engelsk
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Đồng Hới	Dong Hoi
Concepción	Concepción
Ottawa	Ottawa
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
1920	1920
1919	1919
1921	1921
1922	1922
1923	1923
1924	1924
Kurów	Kurów
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
