非洲	Afrika
日本	Japan
南美洲	Sør-Amerika
挪威	Norge
英格兰	England
苏格兰	Skottland
匈牙利	Ungarn
西班牙	Spania
美国	USA
比利时	Belgia
卢森堡	Luxembourg
地球	Jorden
人	Menneske
欢喜	Lykke
芬兰	Finland
瑞典	Sverige
波兰	Polen
立陶宛	Litauen
意大利	Italia
瑞士	Sveits
奥地利	Østerrike
希腊	Hellas
土耳其	Tyrkia
啤酒	Øl
葡萄牙	Portugal
欧洲	Europa
亚洲	Asia
维基百科	Wikipedia
尼德兰	Nederland
PHP	PHP
纽约市	New York
旧金山	San Francisco
洛杉矶	Los Angeles
计算机	Datamaskin
办合纳	Bern
极乃伐	Genève
苏黎世	Zürich
巴拉克·奥巴马	Barack Obama
乌拉圭	Uruguay
白才尔	Basel
打印机	Skriver
伦敦	London
开罗	Kairo
苹果	Epleslekten
墨西哥	Mexico
大西洋	Atlanterhavet
太平洋	Stillehavet
加利福尼亚	California
波士顿	Boston
礼拜一	Mandag
火星	Mars (planet)
肯尼亚	Kenya
礼拜两	Tirsdag
礼拜三	Onsdag
礼拜四	Torsdag
礼拜五	Fredag
礼拜六	Lørdag
礼拜天	Søndag
法国	Frankrike
世界语	Esperanto
狗	Tamhund
英国	Storbritannia
貓	Tamkatt
中华人民共和国	Folkerepublikken Kina
法文	Fransk
鱼	Fisk
巴西	Brasil
俄罗斯	Russland
大海	Hav
圓周率	Pi
Π	Pi (bokstav)
聖保羅	São Paulo
该办克	Québec
德国	Tyskland
白俄罗斯	Hviterussland
德语	Tysk
冰岛	Island
愛沙尼亞	Estland
土星	Saturn
巧克力	Sjokolade
飞机	Fly
打仗	Krig
拉脱维亚	Latvia
乌克兰	Ukraina
捷克	Tsjekkia
斯洛伐克	Slovakia
斯洛文尼亚	Slovenia
摩尔多瓦	Moldova
罗马尼亚	Romania
保加利亚	Bulgaria
罗马	Roma
马其顿	Republikken Makedonia
阿爾巴尼亞	Albania
格陵兰	Grønland
克罗地亚	Kroatia
波黑	Bosnia-Hercegovina
阿塞拜疆	Aserbajdsjan
安道尔	Andorra
塞浦路斯	Republikken Kypros
格鲁吉亚	Georgia
哈萨克斯坦	Kasakhstan
马耳他	Malta
摩纳哥	Monaco
黑山共和国	Montenegro
梵蒂冈	Vatikanstaten
圣马力诺	San Marino
古巴	Cuba
大众汽车	Volkswagen
Java	Java (programmeringsspråk)
印度尼西亚	Indonesia
南非	Sør-Afrika
阿尔及利亚	Algerie
乌兹别克斯坦	Usbekistan
欧罗维竞唱歌比赛	Eurovision Song Contest
水	Vann
木	Treverk
电视机	Fjernsyn
冰岛文	Islandsk
智利	Chile
耶稣	Jesus Kristus
語言	Språk
英语维基百科	Wikipedia på engelsk
尼古拉·萨科齐	Nicolas Sarkozy
新加坡	Singapore
科学	Vitenskap
自由軟件	Fri programvare
列支敦士登	Liechtenstein
希特拉	Adolf Hitler
WikiLeaks	WikiLeaks
第二次世界大战	Andre verdenskrig
科隆	Köln
数学	Matematikk
拉丁文	Latin
巴林	Bahrain
亚美尼亚	Armenia
塞尔维亚	Serbia
月球	Månen
澳大利亚	Australia
物理学	Fysikk
阿根廷	Argentina
秘鲁	Peru
朝鲜民主主义人民共和国	Nord-Korea
