IAfrika	Afrika
IJapani	Japan
IMelika Eningizimu	Sør-Amerika
INoki	Norge
INgilandi	England
IsiKotilandi	Skottland
IWelisi	Wales
I-Ayilendi	Irland
ISpeyini	Spania
IMelika	USA
IFinlandi	Finland
ISwidi	Sverige
IDenimaki	Danmark
IPolandi	Polen
ILithuwaniya	Litauen
ITaliya	Italia
I-Ostriya	Østerrike
IGreki	Hellas
ITheki	Tyrkia
IPhothugali	Portugal
IYurobhu	Europa
I-Eshiya	Asia
IMelika Enyakatho	Nord-Amerika
I-Antatika	Antarktika
Wikipedia	Wikipedia
Netherlands	Nederland
New York (idolobha)	New York
IBerlini	Berlin
Ikhompiyutha	Datamaskin
Barack Obama	Barack Obama
ILondon	London
Ihhabhula	Epleslekten
IParisi	Paris
IMekisiko	Mexico
California	California
IKenya	Kenya
I-Ithiopia	Etiopia
IGana	Ghana
Ibhubesi	Løve
IFulansi	Frankrike
Isi-Esperanto	Esperanto
Inja	Tamhund
Umbuso Ohlangeneyo	Storbritannia
Ikati	Tamkatt
IShayina	Folkerepublikken Kina
IsiFulentshi	Fransk
IBrazili	Brasil
IRashiya	Russland
Ulwandle	Hav
IJalimani	Tyskland
IBelarusi	Hviterussland
IsiJalimani	Tysk
I-Ayisilandi	Island
UNkulunkulu	Gud
I-Estoniya	Estland
David Cameron	David Cameron
USatureni	Saturn
George W. Bush	George W. Bush
ILatviya	Latvia
ITsheki	Tsjekkia
ISlovaki	Slovakia
IVilnyusi	Vilnius
IBulgariya	Bulgaria
Azerbaijan	Aserbajdsjan
IMalta	Malta
Indolobha yaseVathikhani	Vatikanstaten
USanti Marino	San Marino
Belize	Belize
Volkswagen	Volkswagen
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
IRiphabliki yaseNingizimu Afrika	Sør-Afrika
IAljiriya	Algerie
IWarshawa	Warszawa
Amanzi	Vann
Isi-Icelandic	Islandsk
ITshile	Chile
Apple	Apple
UVenusi	Venus
U-Uranu	Uranus
UNepetuni	Neptun (planet)
UPluto	Pluto
Facebook	Facebook
Ubuntu (uhlelo)	Ubuntu (operativsystem)
Imathemathiki	Matematikk
U2	U2
ILatin	Latin
ISerbiya	Serbia
Inyanga	Månen
I-Ostreliya	Australia
Peru	Peru
Mount Everest	Mount Everest
Ilanga	Solen
I-Osheaniya	Oseania
Uhlelo Lemihlaba YeLanga	Solsystemet
Wikimedia Commons	Wikimedia Commons
Football Club Internazionale Milano	Inter
Umculo	Musikk
IMoskwa	Moskva
IsiTaliya	Italiensk
ITshedi	Tsjad
INyuzilandi	New Zealand
INdiya	India
Ubuciko bomlomo	Eventyr
IFiji	Fiji
Venezuela	Venezuela
I-Amsterdami	Amsterdam
Isilwane	Dyr
IKolombiya	Colombia
UbuBudha	Buddhisme
Umthofu	Kobber
Leonardo da Vinci	Leonardo da Vinci
Massachusetts	Massachusetts
Guatemala	Guatemala
Connecticut	Connecticut
Hawaii	Hawaii
Honduras	Honduras
El Salvador	El Salvador
I-Irani	Iran
I-Iraki	Irak
Costa Rica	Costa Rica
Isreyili	Israel
Panama	Panama
IYemen	Jemen
IsiPholisi	Polsk
Nicaragua	Nicaragua
Florida	Florida
Arizona	Arizona
Utah	Utah
IPakistani	Pakistan
Sri Lanka	Sri Lanka
Joseph Stalin	Josef Stalin
I-YouTube	YouTube
IViyetnami	Vietnam
I-Afganistani	Afghanistan
Igolide	Gull
Bangladesh	Bangladesh
IMali	Mali
I-Angola	Angola
ITanzania	Tanzania
Central African Republic	Den sentralafrikanske republikk
ITogo	Togo
ITunisia	Tunisia
IZambiya	Zambia
IZimbabwe	Zimbabwe
ISudan yaseNingizimu	Sør-Sudan
IBenini	Benin
IButswana	Botswana
IBukhina Faso	Burkina Faso
IBurundi	Burundi
IsiKhomorosi	Komorene
IKongo	Republikken Kongo
IRiphabliki Labantu weKongo	Den demokratiske republikken Kongo
IJibuthi	Djibouti
IGini Enkabazwe	Ekvatorial-Guinea
I-Eritrea	Eritrea
IGaboni	Gabon
IGambia	Gambia
IGini	Guinea
IGini Bisawu	Guinea-Bissau
Ugu Emhlophe	Elfenbenskysten
IKamerooni	Kamerun
IKhepi Vedhi	Kapp Verde
OSotho	Lesotho
ILiberia	Liberia
ILibiya	Libya
IMadagasika	Madagaskar
IMalawi	Malawi
IMoritaniya	Mauritania
IMorishisi	Mauritius
IMorokho	Marokko
IMozambiki	Mosambik
INamibhiya	Namibia
INayighe	Niger
INigeria	Nigeria
IYuganda	Uganda
IRuwanda	Rwanda
ISawu Tome noPhrinitshipeyi	São Tomé og Príncipe
ISenegal	Senegal
IsiSeyisheli	Seychellene
ISiera Liyoni	Sierra Leone
ISomalia	Somalia
ISudan	Sudan
ISwazilandi	Swaziland
Amazwe Ohlangeneyo	De forente nasjoner
IPraha	Praha
Isiliva	Sølv
